energy,L,J,totalWidth,neutronWidth,captureWidth,fissionWidth
103.2,0,3.0,0.04627289,0.00598286,0.04,0.00029003
104.79,0,2.0,0.04282859,0.0026352,0.04,0.00019339
106.15,0,3.0,0.05035612,0.00585189,0.044,0.00050423
106.4,0,2.0,0.04944838,0.00402264,0.045,0.00042574
107.62,0,3.0,0.058816,0.00167957,0.057,0.00013643
109.82,0,3.0,0.04718628,0.00279086,0.044,0.00039542
110.09,0,2.0,0.04931118,0.00400728,0.045,0.0003039
111.17,0,3.0,0.02966243,0.00041112,0.029,0.00025131
111.63,0,3.0,0.06105773,0.00382011,0.057,0.00023762
112.75,0,2.0,0.04499282,0.0004968,0.044,0.00049602
113.28,0,2.0,0.03974799,0.000394392,0.039,0.0003536
113.91,0,3.0,0.07885539,0.00154752,0.077,0.00030787
115.08,0,2.0,0.08064052,0.00219674,0.078,0.00044378
115.78,0,3.0,0.04596962,0.00060276,0.045,0.00036686
116.4,0,2.0,0.06018851,0.00300264,0.057,0.00018587
117.66,0,3.0,0.05943764,7.0116e-05,0.059,0.00036752
118.52,0,3.0,0.02989219,0.000632897,0.029,0.00025929
119.82,0,2.0,0.05775972,0.00271632,0.055,4.3399e-05
120.13,0,3.0,0.0326596,0.00146105,0.031,0.00019855
121.98,0,2.0,0.06069878,0.00362424,0.057,7.4536e-05
122.66,0,3.0,0.0601914,0.00302931,0.057,0.00016209
123.28,0,2.0,0.06057723,0.0042408,0.056,0.00033643
124.95,0,3.0,0.07380997,0.00154447,0.072,0.0002655
125.82,0,3.0,0.05837011,0.00087048,0.057,0.00049963
126.44,0,2.0,0.0344606,0.00237533,0.032,8.5272e-05
127.42,0,3.0,0.04461379,0.000147161,0.044,0.00046663
127.99,0,3.0,0.07183197,0.00155751,0.07,0.00027446
129.68,0,2.0,0.05524132,0.000234816,0.054,0.0010065
130.72,0,2.0,0.07309176,0.00167035,0.071,0.00042141
131.32,0,3.0,0.05974923,0.00255,0.057,0.00019923
132.18,0,3.0,0.06290803,0.000761897,0.062,0.00014613
132.75,0,2.0,0.04051008,0.00130493,0.039,0.00020515
133.66,0,3.0,0.0307396,0.00154749,0.029,0.00019211
134.87,0,2.0,0.06520191,0.00782976,0.057,0.00037215
135.45,0,3.0,0.06043864,0.00301886,0.057,0.00041978
136.44,0,3.0,0.04489341,0.00451406,0.04,0.00037935
137.1,0,2.0,0.04058508,0.00151104,0.039,7.4043e-05
137.61,0,2.0,0.05714968,0.00182854,0.055,0.00032114
138.77,0,3.0,0.05643495,0.00310663,0.053,0.00032832
139.96,0,2.0,0.03761943,0.00141922,0.036,0.00020021
140.5,0,2.0,0.04995851,0.00284256,0.047,0.00011595
141.31,0,3.0,0.06059635,0.00356829,0.057,2.8055e-05
141.52,0,3.0,0.03869749,0.00241149,0.036,0.000286
143.04,0,2.0,0.02999884,0.000438816,0.029,0.00056002
144.87,0,3.0,0.05624948,0.00111461,0.055,0.00013487
145.44,0,2.0,0.05014517,0.00041064,0.049,0.00073453
146.44,0,2.0,0.03107695,0.00197952,0.029,9.7425e-05
148.03,0,3.0,0.06584521,0.00861789,0.057,0.00022732
149.14,0,3.0,0.06077427,0.00326023,0.057,0.00051404
