energy,U234 + photon [inclusive] width,n + U233 width,J,Pi,L
518.5857,0.0475353,0.00355983,2,1,0
521.7901,0.03991499,0.000785419,2,1,0
522.0098,0.03531408,0.005502616,2,1,0
523.6881,0.03975563,0.001105805,2,1,0
525.6408,0.03820537,0.00563549,2,1,0
527.8202,0.03848737,0.0005073173,2,1,0
530.4521,0.03859477,0.0001515179,2,1,0
533.292,0.03792486,0.0003151476,2,1,0
535.4402,0.03597966,0.013386,2,1,0
537.6843,0.05411728,0.01037524,2,1,0
539.2915,0.04705352,0.006122042,2,1,0
540.8861,0.03965236,0.002857478,2,1,0
542.2761,0.03807582,0.0003756419,2,1,0
545.5385,0.03851194,0.01407795,2,1,0
546.2716,0.03949131,0.002229703,2,1,0
546.6825,0.04111081,0.01340777,2,1,0
549.6941,0.03664225,0.002779797,2,1,0
550.5869,0.03750509,0.003994379,2,1,0
551.9334,0.03888496,0.0003220569,2,1,0
553.1234,0.03741159,0.003889507,2,1,0
553.1874,0.0372844,0.00124029,2,1,0
555.1482,0.03672037,0.0003909534,2,1,0
557.9547,0.03795058,0.003243977,2,1,0
559.3025,0.04282025,0.01288881,2,1,0
559.9554,0.03939105,0.0002303838,2,1,0
564.8147,0.03899332,0.001064086,2,1,0
567.4516,0.04092093,0.002715045,2,1,0
568.6477,0.03661855,0.006540489,2,1,0
569.0687,0.03372107,0.004435141,2,1,0
571.7784,0.0361801,0.003890143,2,1,0
572.5549,0.03357357,0.004960025,2,1,0
574.2449,0.04424822,0.002911266,2,1,0
575.2759,0.04001671,0.0005727681,2,1,0
578.0126,0.03835564,0.006542861,2,1,0
579.926,0.03890347,0.002188479,2,1,0
583.8685,0.03900225,2.116959e-05,2,1,0
584.2826,0.03916709,0.003643001,2,1,0
586.0481,0.04426065,0.009503774,2,1,0
588.043,0.03589182,0.01697929,2,1,0
590.5904,0.03698734,0.0001011151,2,1,0
592.7202,0.03034229,0.007071383,2,1,0
597.7637,0.03802039,0.0008202967,2,1,0
598.6846,0.03753185,0.0009615165,2,1,0
600.5076,0.01524745,0.001608881,2,1,0
606.2143,0.02949294,0.007502191,2,1,0
609.1378,0.01493126,0.01330792,2,1,0
