energy,Cr51 + photon [inclusive] width,n + Cr50 width,J,Pi,L
313140.6,0.37,560.0469,1.5,-1,1
318100.7,0.37,168.9497,1.5,-1,1
330831.4,0.37,36.63397,1.5,-1,1
340381.5,0.37,78.0791,1.5,-1,1
340934.6,0.37,69.64685,1.5,-1,1
347611.0,0.37,134.7973,1.5,-1,1
370129.7,0.37,83.11244,1.5,-1,1
376123.3,0.75,39.02701,1.5,-1,1
381329.8,0.37,80.8115,1.5,-1,1
409423.1,0.37,28.90347,1.5,-1,1
437624.3,1.13,27.57114,1.5,-1,1
442086.2,0.37,87.66934,1.5,-1,1
443222.3,0.37,60.38859,1.5,-1,1
458359.5,0.37,59.36448,1.5,-1,1
478171.5,0.37,721.415,1.5,-1,1
481208.6,0.37,74.7307,1.5,-1,1
483537.2,0.37,18.03012,1.5,-1,1
488224.8,0.37,26.36974,1.5,-1,1
495052.2,0.37,96.56922,1.5,-1,1
526210.4,0.37,110.8953,1.5,-1,1
531657.5,0.37,3.114418,1.5,-1,1
542774.2,0.37,57.08378,1.5,-1,1
547197.3,0.37,177.3192,1.5,-1,1
548498.3,0.37,312.0276,1.5,-1,1
567018.3,0.37,11.47795,1.5,-1,1
569242.6,0.37,23.89961,1.5,-1,1
577866.1,0.37,107.0368,1.5,-1,1
582411.0,0.37,217.0426,1.5,-1,1
586510.4,0.37,76.00861,1.5,-1,1
588172.1,0.75,67.79974,1.5,-1,1
589099.3,0.75,33.5794,1.5,-1,1
608770.7,0.37,4.823688,1.5,-1,1
609221.4,0.37,90.71654,1.5,-1,1
629219.4,0.75,49.99522,1.5,-1,1
637414.5,0.37,31.78655,1.5,-1,1
640761.9,0.37,29.93908,1.5,-1,1
644970.4,0.37,11.94403,1.5,-1,1
647422.3,0.37,4.282444,1.5,-1,1
655809.8,0.37,159.8003,1.5,-1,1
657010.8,0.37,15.11748,1.5,-1,1
657385.8,0.37,70.74606,1.5,-1,1
665435.5,0.37,244.769,1.5,-1,1
693322.2,0.37,2.936047,1.5,-1,1
693419.5,0.37,510.5322,1.5,-1,1
713101.8,0.37,26.26226,1.5,-1,1
722984.4,0.37,167.4816,1.5,-1,1
733033.0,0.37,117.2683,1.5,-1,1
733239.6,0.37,82.24258,1.5,-1,1
742874.5,0.37,140.9028,1.5,-1,1
769821.1,0.37,718.4798,1.5,-1,1
776971.7,0.37,247.5302,1.5,-1,1
778482.1,0.37,136.8825,1.5,-1,1
783154.0,0.37,151.6344,1.5,-1,1
133335.5,0.75,2.054756,1.5,1,2
146888.9,1.71,58.59173,1.5,1,2
150576.8,3.05,27.63313,1.5,1,2
174662.0,0.75,7.248232,1.5,1,2
176689.8,0.75,10.80465,1.5,1,2
206282.4,0.75,4.958413,1.5,1,2
209608.3,0.75,1.984078,1.5,1,2
215124.8,0.37,8.732658,1.5,1,2
220193.3,0.37,6.534681,1.5,1,2
220772.0,0.37,0.4861347,1.5,1,2
246059.6,0.75,14.2191,1.5,1,2
262496.2,0.52,29.36077,1.5,1,2
286110.7,0.93,21.52537,1.5,1,2
296146.9,0.75,20.59068,1.5,1,2
302665.3,0.75,25.48193,1.5,1,2
319763.4,0.75,26.32993,1.5,1,2
