energy,Th233 + photon [inclusive] width,n + Th232 width,J,Pi,L
3503.579,0.0244,0.002395838,0.5,1,0
3513.6,0.0244,0.0004482739,0.5,1,0
3524.707,0.02540022,0.1477108,0.5,1,0
3546.3,0.0244,0.002007529,0.5,1,0
3569.418,0.0244,0.000887543,0.5,1,0
3578.149,0.02823491,0.02619925,0.5,1,0
3597.069,0.02677216,0.01311191,0.5,1,0
3614.868,0.02686146,0.1841367,0.5,1,0
3628.627,0.02405943,0.007836302,0.5,1,0
3642.557,0.02412211,0.004635279,0.5,1,0
3654.881,0.0273524,0.07813849,0.5,1,0
3677.193,0.02471047,0.01168759,0.5,1,0
3694.566,0.0244,6.364607e-05,0.5,1,0
3713.091,0.0244,0.004807343,0.5,1,0
3719.372,0.02713297,0.01729365,0.5,1,0
3722.228,0.02438139,0.006972277,0.5,1,0
3726.314,0.02651068,0.1307907,0.5,1,0
3735.818,0.02312924,0.0439536,0.5,1,0
3763.759,0.02349919,0.005758208,0.5,1,0
3789.825,0.02529307,0.0371696,0.5,1,0
3813.0,0.0244,0.000975079,0.5,1,0
3823.737,0.02377806,0.0591242,0.5,1,0
3830.171,0.02336064,0.1928906,0.5,1,0
3852.118,0.02616767,0.02092445,0.5,1,0
3873.0,0.02186838,0.07038107,0.5,1,0
3886.963,0.02423112,0.01733113,0.5,1,0
3909.174,0.02637156,0.2433129,0.5,1,0
3927.255,0.02441464,0.00939718,0.5,1,0
3935.362,0.0253085,0.04700745,0.5,1,0
3955.737,0.0244,0.003621497,0.5,1,0
3964.877,0.02607947,0.0443672,0.5,1,0
3973.926,0.02457961,0.107349,0.5,1,0
3980.035,0.02924258,0.1697916,0.5,1,0
4000.078,0.02490447,0.01620739,0.5,1,0
4030.83,0.0244,0.007832797,0.5,1,0
4046.301,0.0244,0.009808165,0.5,1,0
4052.65,0.0244,0.02706426,0.5,1,0
4069.194,0.0244,0.03145767,0.5,1,0
4085.933,0.0244,0.03614734,0.5,1,0
4102.761,0.0244,0.03835491,0.5,1,0
6000.0,0.0244,53.59296,0.5,1,0
8.358396,0.02440102,2.49435e-07,0.5,-1,1
37.0053,0.0244,1.041e-06,0.5,-1,1
41.0295,0.0244,9.704e-07,0.5,-1,1
71.7825,0.0244,2.213e-07,0.5,-1,1
90.2298,0.0244,6.451e-06,0.5,-1,1
98.0644,0.0244,6.206e-06,0.5,-1,1
121.3315,0.0244,9.45e-08,0.5,-1,1
134.264,0.0244,8.08e-07,0.5,-1,1
148.0682,0.0244,1.152e-05,0.5,-1,1
155.1049,0.0244,1.117e-07,0.5,-1,1
174.0608,0.0244,1.761e-05,0.5,-1,1
202.7,0.0244,5.849e-05,0.5,-1,1
223.307,0.0244,5.24e-06,0.5,-1,1
234.288,0.0244,2.246e-05,0.5,-1,1
258.497,0.0244,1.685e-05,0.5,-1,1
293.9357,0.0244,3.55e-06,0.5,-1,1
326.5573,0.0244,2.929e-05,0.5,-1,1
338.1431,0.0244,5.584e-05,0.5,-1,1
352.0115,0.0244,9.291e-05,0.5,-1,1
391.9289,0.0244,0.000177,0.5,-1,1
412.0312,0.0244,0.0002698,0.5,-1,1
438.0727,0.0244,1.38e-06,0.5,-1,1
446.2929,0.0244,9.314e-06,0.5,-1,1
454.0735,0.0244,0.0001261,0.5,-1,1
456.3621,0.0244,5.011e-06,0.5,-1,1
466.0,0.0244,8e-05,0.5,-1,1
469.837,0.0244,4.446e-05,0.5,-1,1
496.9296,0.0244,1.017e-05,0.5,-1,1
521.6976,0.0244,1.723e-05,0.5,-1,1
533.6481,0.0244,0.0002486,0.5,-1,1
539.6123,0.0244,5.859e-05,0.5,-1,1
559.1629,0.0244,6.5e-06,0.5,-1,1
584.0074,0.0244,3.195e-05,0.5,-1,1
600.5583,0.0244,8.38e-06,0.5,-1,1
610.0,0.0244,0.00012,0.5,-1,1
614.6319,0.0244,5.712e-05,0.5,-1,1
643.7526,0.0244,1.122e-05,0.5,-1,1
650.6932,0.0244,2.538e-06,0.5,-1,1
678.5734,0.0244,5.033e-06,0.5,-1,1
689.5591,0.0244,7.452e-05,0.5,-1,1
696.0519,0.0244,8.689e-06,0.5,-1,1
704.7,0.0244,0.000351,0.5,-1,1
709.3284,0.0244,3.031e-06,0.5,-1,1
720.7039,0.0244,0.0001003,0.5,-1,1
738.7564,0.0244,6.01e-06,0.5,-1,1
758.5927,0.0244,7.578e-05,0.5,-1,1
771.2188,0.0244,5.54e-05,0.5,-1,1
775.0768,0.0244,1.528e-05,0.5,-1,1
815.1251,0.0244,3.472e-05,0.5,-1,1
845.1794,0.0244,0.0002056,0.5,-1,1
851.6312,0.0244,0.0007922,0.5,-1,1
868.0091,0.0244,0.0004046,0.5,-1,1
893.0003,0.0244,6.971e-05,0.5,-1,1
913.3768,0.0244,6.959e-05,0.5,-1,1
932.5,0.0244,5.5e-06,0.5,-1,1
940.5375,0.0244,1.692e-05,0.5,-1,1
955.683,0.0244,6.454e-05,0.5,-1,1
972.5679,0.0244,0.000141015,0.5,-1,1
1007.292,0.0244,0.0001103,0.5,-1,1
1014.105,0.0244,0.0002672,0.5,-1,1
1029.184,0.0244,3.097e-05,0.5,-1,1
1044.801,0.0244,0.0007212,0.5,-1,1
1078.056,0.0244,0.0006699,0.5,-1,1
1082.704,0.0244,3.106e-05,0.5,-1,1
1100.191,0.0244,7.42e-05,0.5,-1,1
1106.302,0.0244,0.0001476,0.5,-1,1
1115.839,0.0244,0.002156,0.5,-1,1
1125.47,0.0244,5.87e-05,0.5,-1,1
1133.914,0.0244,0.0002802,0.5,-1,1
1206.013,0.0244,0.001241,0.5,-1,1
