energy,K40 + photon [inclusive] width,n + K39 width,J,Pi,L
3279.434,0.66992,0.200231,1,-1,1
54642.05,0.6181,22.914,1,-1,1
55744.82,0.063696,3.79044,1,-1,1
58807.38,0.43918,2.02137,1,-1,1
84903.24,0.35722,6.15347,1,-1,1
97336.31,0.40554,9.29937,1,-1,1
106104.2,0.41898,3.20743,1,-1,1
109929.3,0.27891,10.9465,1,-1,1
117404.1,0.92134,21.1531,1,-1,1
120144.5,0.39351,6.28764,1,-1,1
136633.2,2.0932,132.846,1,-1,1
146271.8,0.34683,71.9783,1,-1,1
146468.4,0.053079,110.38,1,-1,1
160264.1,0.83871,7.894,1,-1,1
220250.4,0.24399,27.2004,1,-1,1
229551.5,1.3954,254.357,1,-1,1
249496.8,0.090667,344.819,1,-1,1
249939.1,0.56579,507.451,1,-1,1
261566.1,2.2682,260.947,1,-1,1
272912.8,0.90193,34.5731,1,-1,1
282375.2,1.8298,99.6418,1,-1,1
295963.5,0.89621,1131.13,1,-1,1
342071.2,0.68653,504.578,1,-1,1
359548.6,5.761,8316.38,1,-1,1
368848.6,1.519,3717.8,1,-1,1
373976.4,1.7649,2269.76,1,-1,1
385259.6,0.40155,26.7495,1,-1,1
389231.8,0.50198,430.625,1,-1,1
397073.5,1.5883,183.122,1,-1,1
405525.1,1.1116,2066.95,1,-1,1
425623.2,0.58327,377.19,1,-1,1
435128.9,2.2391,1356.11,1,-1,1
441055.9,2.4828,480.85,1,-1,1
453695.3,1.767,1286.88,1,-1,1
472773.0,1.3368,2020.68,1,-1,1
492956.2,0.99992,978.298,1,-1,1
521800.8,1.6668,273.286,1,-1,1
546683.1,1.4279,565.542,1,-1,1
558716.7,1.1206,28.7035,1,-1,1
591173.0,1.1538,263.52,1,-1,1
601841.4,1.0859,4791.51,1,-1,1
625493.9,1.0851,1978.2,1,-1,1
653919.3,1.0861,769.189,1,-1,1
702907.1,1.0841,410.571,1,-1,1
704424.4,1.0843,1075.78,1,-1,1
724995.2,1.0853,906.809,1,-1,1
732578.9,1.0842,754.315,1,-1,1
744480.9,1.0846,1364.47,1,-1,1
746127.0,1.0845,1875.76,1,-1,1
752713.3,1.0843,651.251,1,-1,1
797604.7,1.0843,2698.31,1,-1,1
861164.8,1.0832,3415.73,1,-1,1
896446.9,1.0854,2768.72,1,-1,1
924801.4,1.084,308.102,1,-1,1
942399.7,1.0835,6678.58,1,-1,1
979527.4,1.0841,3097.55,1,-1,1
1032440.0,1.084,923.042,1,-1,1
1048524.0,1.084,237.453,1,-1,1
14298.41,0.23224,0.799566,2,-1,1
33364.02,0.30813,15.9621,2,-1,1
37554.61,0.38871,9.61122,2,-1,1
62244.68,0.31678,3.57408,2,-1,1
81167.76,0.28478,26.8807,2,-1,1
108591.7,0.30173,4.91814,2,-1,1
122873.1,0.48428,25.7836,2,-1,1
147226.1,0.51795,4.04709,2,-1,1
154610.1,0.20202,40.5031,2,-1,1
184537.8,0.47048,58.4408,2,-1,1
224860.4,0.34476,105.321,2,-1,1
291053.3,1.738,75.8152,2,-1,1
305807.8,2.8983,3611.36,2,-1,1
365843.9,0.24213,85.0157,2,-1,1
401163.2,0.54816,48.1503,2,-1,1
580914.7,1.2347,351.992,2,-1,1
669960.4,1.0838,153.878,2,-1,1
685911.9,1.0841,124.351,2,-1,1
711591.3,1.0848,354.047,2,-1,1
755431.8,1.0841,218.499,2,-1,1
763131.4,1.084,108.376,2,-1,1
771740.3,1.0834,1995.71,2,-1,1
778638.5,1.0862,1169.4,2,-1,1
791006.6,1.0842,183.926,2,-1,1
803536.4,1.0855,711.102,2,-1,1
811074.9,1.0848,4718.47,2,-1,1
835023.3,1.0855,635.506,2,-1,1
873320.5,1.0836,2554.35,2,-1,1
905113.6,1.0842,1444.46,2,-1,1
964527.4,1.0849,1548.37,2,-1,1
976703.0,1.0845,1572.77,2,-1,1
1003320.0,1.084,570.493,2,-1,1
1017231.0,1.084,1156.69,2,-1,1
1031122.0,1.084,4746.42,2,-1,1
1061342.0,1.084,3841.22,2,-1,1
1074072.0,1.084,300.0,2,-1,1
1096439.0,1.084,491.5,2,-1,1
1115700.0,1.084,2500.0,2,-1,1
15954.19,0.27733,1.54756,2,-1,1
37660.08,0.47642,0.842741,2,-1,1
46033.49,0.58178,50.3353,2,-1,1
52181.66,0.35981,14.0598,2,-1,1
55814.95,0.17993,5.65217,2,-1,1
102280.3,0.3541,35.7601,2,-1,1
129437.7,0.24607,7.30775,2,-1,1
172911.2,0.41692,16.4698,2,-1,1
200061.1,0.2659,11.5105,2,-1,1
318183.2,0.72707,33.2065,2,-1,1
334702.7,0.48368,78.0009,2,-1,1
342927.3,0.76018,121.098,2,-1,1
366352.7,0.23255,74.6993,2,-1,1
369617.3,0.65491,14.4964,2,-1,1
388724.1,0.35284,162.154,2,-1,1
459392.9,0.88711,114.917,2,-1,1
504553.5,1.5763,202.804,2,-1,1
512325.4,0.71421,489.781,2,-1,1
535927.9,1.2497,82.7276,2,-1,1
566818.7,1.9018,196.544,2,-1,1
611508.9,1.0861,1432.68,2,-1,1
651292.9,1.0856,240.993,2,-1,1
735947.6,1.0833,4715.31,2,-1,1
787222.8,1.085,632.228,2,-1,1
818012.2,1.0856,1670.83,2,-1,1
830957.6,1.0855,1711.09,2,-1,1
867429.1,1.0848,2733.81,2,-1,1
882213.7,1.084,144.901,2,-1,1
911991.6,1.084,3353.1,2,-1,1
931985.3,1.0843,767.808,2,-1,1
990279.5,1.0839,4678.54,2,-1,1
1055832.0,1.084,2416.6,2,-1,1
1089838.0,1.084,800.0,2,-1,1
1124200.0,1.084,1000.0,2,-1,1
-2485333.0,0.50013,7406140.0,3,-1,1
1111.655,0.51533,0.012106,3,-1,1
12623.4,0.34536,0.908589,3,-1,1
16711.53,0.29535,0.383802,3,-1,1
32226.33,0.82347,1.38534,3,-1,1
68773.45,0.18831,1.19881,3,-1,1
228969.6,0.084919,45.3425,3,-1,1
333861.3,0.24323,100.423,3,-1,1
389871.1,0.49568,24.2034,3,-1,1
405678.7,0.28877,33.0822,3,-1,1
457384.5,0.31939,72.8669,3,-1,1
485098.9,0.49985,30.3668,3,-1,1
489400.7,0.40113,89.1748,3,-1,1
512742.6,0.57326,21.4321,3,-1,1
530924.0,0.58841,70.4169,3,-1,1
557505.9,0.45719,69.832,3,-1,1
563203.6,0.99772,53.9248,3,-1,1
642463.1,1.0846,257.575,3,-1,1
694179.7,1.084,97.8377,3,-1,1
727325.5,1.084,263.119,3,-1,1
773217.6,1.0842,528.404,3,-1,1
849325.8,1.088,1309.24,3,-1,1
914907.4,1.084,689.014,3,-1,1
919876.8,1.084,206.529,3,-1,1
958616.0,1.084,191.413,3,-1,1
969150.9,1.085,683.215,3,-1,1
992525.1,1.084,242.548,3,-1,1
1104000.0,1.084,1500.0,3,-1,1
1134000.0,1.084,1000.0,3,-1,1
