energy,Pu240 + photon [inclusive] width,n + Pu239 width,J,Pi,L
2774.606,0.04,0.08253603,0,1,0
2783.36,0.04,0.0246431,0,1,0
2788.052,0.04,0.03410891,0,1,0
2798.912,0.04,0.113474,0,1,0
2804.656,0.04,0.01553771,0,1,0
2812.41,0.04,0.004298901,0,1,0
2838.577,0.04,0.1498922,0,1,0
2845.836,0.04,0.06274501,0,1,0
2854.822,0.04,0.004899849,0,1,0
2870.671,0.04,0.0005793321,0,1,0
2882.398,0.04,0.00011359,0,1,0
2882.634,0.04,0.005824499,0,1,0
2898.571,0.04,0.01328851,0,1,0
2903.345,0.04,0.004043983,0,1,0
2903.545,0.04,0.08907259,0,1,0
2906.92,0.04,0.0150394,0,1,0
2914.221,0.04,0.002068402,0,1,0
2915.751,0.04,0.0003729102,0,1,0
2963.452,0.04,0.09161211,0,1,0
2963.524,0.04,0.00350136,0,1,0
2975.494,0.04,0.05632517,0,1,0
2975.742,0.04,0.02194555,0,1,0
2977.731,0.04,0.01192521,0,1,0
3001.27,0.04,0.01177137,0,1,0
3001.452,0.04,0.007307888,0,1,0
3026.925,0.04,0.03276278,0,1,0
3033.975,0.04,0.008019809,0,1,0
3038.794,0.04,0.01202675,0,1,0
3042.077,0.04,0.01053971,0,1,0
3061.543,0.04,0.272117,0,1,0
3079.702,0.04,0.00102163,0,1,0
3086.842,0.04,0.03902362,0,1,0
3097.145,0.04,0.01606048,0,1,0
3105.725,0.04,1.030695e-05,0,1,0
3126.16,0.04,0.0127447,0,1,0
3135.153,0.04,0.01910691,0,1,0
3144.308,0.04,0.03643985,0,1,0
3156.822,0.04,0.004187885,0,1,0
3157.998,0.04,0.2646059,0,1,0
3163.751,0.04,0.01884116,0,1,0
3173.225,0.04,0.04566775,0,1,0
3180.393,0.04,0.04602949,0,1,0
3197.032,0.04,0.6459991,0,1,0
3210.331,0.04,0.07227815,0,1,0
3210.56,0.04,0.001566322,0,1,0
3228.996,0.04,0.02234224,0,1,0
3230.998,0.04,0.008189402,0,1,0
3245.095,0.04,0.08741942,0,1,0
3245.321,0.04,0.02397141,0,1,0
3270.415,0.04,0.7298349,0,1,0
3274.25,0.04,0.004876629,0,1,0
3290.903,0.04,0.1003338,0,1,0
3300.035,0.04,0.08394927,0,1,0
3312.73,0.04,0.006706073,0,1,0
3317.455,0.04,0.01531746,0,1,0
3319.424,0.04,0.07213143,0,1,0
3323.976,0.04,0.03668291,0,1,0
3328.485,0.04,0.04158618,0,1,0
3331.174,0.04,0.003660879,0,1,0
3341.791,0.04,0.009873803,0,1,0
3364.915,0.04,0.1614403,0,1,0
3368.028,0.04,0.1218172,0,1,0
3381.737,0.04,0.02743363,0,1,0
3407.68,0.04,0.008650271,0,1,0
3414.432,0.04,0.02419179,0,1,0
3417.569,0.04,0.2129165,0,1,0
3431.764,0.04,0.002393654,0,1,0
3432.656,0.04,0.002145059,0,1,0
3439.917,0.04,0.003757203,0,1,0
3453.665,0.04,0.0580685,0,1,0
3459.443,0.04,0.1267612,0,1,0
3474.839,0.04,0.0216693,0,1,0
3489.422,0.04,0.009813312,0,1,0
3498.831,0.04,0.00291524,0,1,0
3504.925,0.04,0.1607803,0,1,0
3507.197,0.04,0.01347813,0,1,0
3519.04,0.04,0.02126262,0,1,0
3524.916,0.04,0.1543491,0,1,0
3539.698,0.04,0.01364288,0,1,0
3550.136,0.04,0.01170891,0,1,0
3562.427,0.04,2.423514e-06,0,1,0
3580.835,0.04,0.05062277,0,1,0
3580.939,0.04,0.002917858,0,1,0
3586.237,0.04,0.05533677,0,1,0
3597.854,0.04,0.02437254,0,1,0
3603.622,0.04,2.654488e-05,0,1,0
3604.116,0.04,0.02439191,0,1,0
3621.035,0.04,0.003825653,0,1,0
3626.496,0.04,0.01281332,0,1,0
3645.658,0.04,0.006530293,0,1,0
3647.038,0.04,0.003274259,0,1,0
3652.804,0.04,0.5857096,0,1,0
3664.223,0.04,0.1428041,0,1,0
3684.618,0.04,0.062589,0,1,0
3687.594,0.04,0.04096284,0,1,0
3704.048,0.04,0.01682797,0,1,0
3705.129,0.04,0.03729484,0,1,0
3728.602,0.04,0.001902059,0,1,0
3737.587,0.04,0.02716251,0,1,0
3741.682,0.04,0.1211161,0,1,0
3745.479,0.04,0.04540218,0,1,0
3766.166,0.04,0.01224522,0,1,0
3766.541,0.04,0.05839255,0,1,0
3770.529,0.04,0.02335873,0,1,0
3788.244,0.04,0.02911044,0,1,0
3805.149,0.04,0.3740405,0,1,0
3808.199,0.04,0.05886425,0,1,0
3819.716,0.04,0.0156603,0,1,0
3821.979,0.04,0.4868393,0,1,0
3831.734,0.04,0.008515647,0,1,0
3832.669,0.04,0.09205504,0,1,0
3847.852,0.04,0.0007606908,0,1,0
3853.088,0.04,0.04260197,0,1,0
