energy,Pb207 + photon [inclusive] width,n + Pb206 width,J,Pi,L
155272.0,0.835,0.1964,1.5,1,2
173740.0,0.3648781,47.0,1.5,1,2
175920.0,0.835,0.1941,1.5,1,2
189794.0,0.835,0.02205,1.5,1,2
193417.0,0.835,0.0612,1.5,1,2
198470.0,3.142905,132.0,1.5,1,2
202965.0,0.835,0.0764,1.5,1,2
204210.0,0.6862539,235.0,1.5,1,2
209946.0,0.835,0.85935,1.5,1,2
213790.0,0.455,22.0,1.5,1,2
227951.0,0.835,0.63285,1.5,1,2
235422.0,1.37,107.0,1.5,1,2
254703.0,0.835,0.0758,1.5,1,2
265563.0,0.8515,40.0,1.5,1,2
269638.0,0.0545,53.0,1.5,1,2
274060.0,0.2207613,53.0,1.5,1,2
276630.0,3.429373,112.0,1.5,1,2
289502.0,0.835,3.14915,1.5,1,2
313400.0,1.314084,22.0,1.5,1,2
319280.0,1.007294,164.0,1.5,1,2
336740.0,0.129577,128.0,1.5,1,2
341890.0,0.8333977,174.0,1.5,1,2
344130.0,0.2550347,85.0,1.5,1,2
348018.0,0.835,0.10275,1.5,1,2
350910.0,1.808544,212.0,1.5,1,2
357830.0,1.438217,455.0,1.5,1,2
362580.0,0.841417,98.0,1.5,1,2
370370.0,0.7959165,45.0,1.5,1,2
374553.0,0.835,0.3548,1.5,1,2
386850.0,1.211628,79.0,1.5,1,2
393352.0,0.835,0.54155,1.5,1,2
407310.0,2.801061,71.0,1.5,1,2
414880.0,0.9769435,50.0,1.5,1,2
426140.0,3.279997,522.0,1.5,1,2
433850.0,1.052,58.05,1.5,1,2
441220.0,0.7285626,109.0,1.5,1,2
452410.0,0.8932098,44.0,1.5,1,2
471020.0,3.197706,161.0,1.5,1,2
474874.0,0.3135493,4.85665,1.5,1,2
490760.0,3.068276,74.0,1.5,1,2
496130.0,0.6318304,19.0,1.5,1,2
502810.0,1.308349,32.0,1.5,1,2
506719.0,0.9021002,3.44245,1.5,1,2
510680.0,2.023542,79.0,1.5,1,2
523890.0,2.111434,161.0,1.5,1,2
541710.0,0.9424706,517.0,1.5,1,2
554930.0,0.5343513,13.0,1.5,1,2
561437.0,0.835,0.3925,1.5,1,2
568559.0,0.835,0.7318,1.5,1,2
572400.0,5.325574,56.0,1.5,1,2
578800.0,0.5586845,36.0,1.5,1,2
580000.0,1.240303,23.0,1.5,1,2
603240.0,0.5805759,42.0,1.5,1,2
608800.0,2.641738,327.0,1.5,1,2
610300.0,1.507962,199.0,1.5,1,2
612200.0,4.353963,210.0,1.5,1,2
616000.0,1.527953,125.0,1.5,1,2
620300.0,0.2389415,19.0,1.5,1,2
627900.0,1.177929,326.0,1.5,1,2
634540.0,1.191911,60.0,1.5,1,2
636770.0,1.192057,70.0,1.5,1,2
647400.0,1.193835,532.0,1.5,1,2
653600.0,1.192365,107.0,1.5,1,2
655700.0,1.192097,29.0,1.5,1,2
663100.0,1.192667,220.0,1.5,1,2
666300.0,1.192523,181.0,1.5,1,2
669300.0,1.192146,53.0,1.5,1,2
678200.0,0.835,406.0,1.5,1,2
692570.0,1.193682,875.0,1.5,1,2
694600.0,1.192727,390.0,1.5,1,2
716500.0,1.192671,487.0,1.5,1,2
719600.0,1.192062,47.0,1.5,1,2
723900.0,1.19234,271.0,1.5,1,2
744300.0,1.192358,363.0,1.5,1,2
762400.0,1.19214,172.0,1.5,1,2
772000.0,1.192019,26.0,1.5,1,2
779700.0,1.192062,90.0,1.5,1,2
784400.0,1.192029,45.0,1.5,1,2
789000.0,1.192196,312.0,1.5,1,2
810300.0,1.19207,135.0,1.5,1,2
812900.0,1.192149,293.0,1.5,1,2
821600.0,1.192025,52.0,1.5,1,2
825000.0,1.192018,40.0,1.5,1,2
832200.0,1.192094,216.0,1.5,1,2
837400.0,1.19203,72.0,1.5,1,2
841000.0,1.192134,330.0,1.5,1,2
847500.0,1.192038,99.0,1.5,1,2
855500.0,1.192144,395.0,1.5,1,2
860100.0,1.192012,35.0,1.5,1,2
863000.0,1.192066,191.0,1.5,1,2
872400.0,1.192035,108.0,1.5,1,2
875300.0,1.192035,111.0,1.5,1,2
10000000.0,1.192,21557000.0,1.5,1,2
63951.6,0.226667,1.081815,2.5,1,2
80887.8,0.835,0.017,2.5,1,2
88450.0,0.4453663,8.0,2.5,1,2
91733.1,0.835,0.236567,2.5,1,2
101220.0,0.0949411,8.0,2.5,1,2
109217.0,0.835,0.0247,2.5,1,2
114520.0,0.4494241,5.6,2.5,1,2
117990.0,0.3979043,5.1,2.5,1,2
127885.0,0.835,0.0250667,2.5,1,2
140061.0,0.835,0.0550667,2.5,1,2
151090.0,0.5127972,19.0,2.5,1,2
152120.0,0.08062263,0.5,2.5,1,2
161590.0,0.1173363,0.6,2.5,1,2
177551.0,0.5065713,0.316167,2.5,1,2
183286.0,0.835,0.0669667,2.5,1,2
196905.0,0.835,0.0446,2.5,1,2
230248.0,0.173333,40.0,2.5,1,2
243208.0,0.835,0.365733,2.5,1,2
250818.0,0.176,52.0,2.5,1,2
260675.0,0.835,0.5384,2.5,1,2
278400.0,0.3196025,100.0,2.5,1,2
295194.0,0.835,0.0724667,2.5,1,2
303828.0,0.9101711,2.67453,2.5,1,2
311880.0,0.08622569,2.2,2.5,1,2
314340.0,0.907074,179.0,2.5,1,2
317083.0,0.835,0.0532,2.5,1,2
320657.0,0.835,0.1017,2.5,1,2
328480.0,0.5381717,6.3,2.5,1,2
333063.0,0.835,1.4686,2.5,1,2
339500.0,0.2735642,16.0,2.5,1,2
340340.0,0.1509789,16.0,2.5,1,2
345390.0,0.4036209,76.0,2.5,1,2
356860.0,0.7836503,31.0,2.5,1,2
376710.0,0.4508537,191.0,2.5,1,2
383950.0,0.3218618,281.0,2.5,1,2
396766.0,0.835,2.82177,2.5,1,2
399600.0,0.5958477,138.0,2.5,1,2
405910.0,2.017309,102.0,2.5,1,2
416370.0,2.236059,307.0,2.5,1,2
