energy,Ca41 + photon [inclusive] width,n + Ca40 width,J,Pi,L
1380857.0,1.0,51.88033,1.5,1,2
1389886.0,1.0,553.7658,1.5,1,2
1432586.0,1.110417,2342.008,1.5,1,2
1470814.0,1.061456,233.7906,1.5,1,2
1515000.0,1.0,25.0,1.5,1,2
34538.54,0.1306229,0.3772489,2.5,1,2
42093.35,2.298787,0.5142698,2.5,1,2
82865.27,0.4473985,0.02238498,2.5,1,2
110265.5,3.449248,0.08887544,2.5,1,2
121638.1,0.09203542,3.191748,2.5,1,2
159128.3,0.01641489,0.9477407,2.5,1,2
234202.5,1.246419,4.576535,2.5,1,2
258491.3,1.813201,1.722649,2.5,1,2
295148.9,1.021136,88.57884,2.5,1,2
308565.6,0.3346849,1.10897,2.5,1,2
329876.3,0.6653593,1.81472,2.5,1,2
339708.2,0.9011701,0.2576762,2.5,1,2
402209.2,0.5160704,3.043052,2.5,1,2
475192.4,0.7758394,4.342693,2.5,1,2
521667.5,1.0,25.25939,2.5,1,2
569902.9,0.3822176,192.4925,2.5,1,2
576934.4,1.0,13.7246,2.5,1,2
594141.1,0.8933261,108.2643,2.5,1,2
616543.6,1.0,28.03231,2.5,1,2
623032.9,0.8899142,70.07761,2.5,1,2
638242.2,0.890622,61.05679,2.5,1,2
741159.1,0.4554076,70.18857,2.5,1,2
757708.7,1.169547,419.6178,2.5,1,2
789818.3,0.5102981,76.01269,2.5,1,2
800058.1,0.8905724,46.68667,2.5,1,2
829744.7,0.8906578,35.07932,2.5,1,2
831115.5,0.8901137,37.37703,2.5,1,2
841763.2,0.880577,423.2297,2.5,1,2
923848.6,1.008796,8.757183,2.5,1,2
924459.7,0.8945398,222.788,2.5,1,2
999985.8,0.9224902,28.27924,2.5,1,2
1045655.0,1.003072,224.7409,2.5,1,2
1086756.0,1.005137,39.71382,2.5,1,2
1098158.0,1.078827,81.73862,2.5,1,2
1137219.0,1.222333,358.0701,2.5,1,2
1169459.0,1.040866,471.4465,2.5,1,2
1235112.0,1.000259,322.259,2.5,1,2
1249477.0,1.000056,900.0118,2.5,1,2
1254854.0,0.9938044,32.27746,2.5,1,2
1257787.0,1.000058,162.9126,2.5,1,2
1267411.0,0.9997524,904.6679,2.5,1,2
1306825.0,0.9979807,45.09818,2.5,1,2
1309848.0,1.0,406.2436,2.5,1,2
1338594.0,1.0,275.2651,2.5,1,2
1355534.0,1.000487,5.944995,2.5,1,2
1356064.0,1.005737,127.5084,2.5,1,2
1385422.0,0.9992268,32.16466,2.5,1,2
1458160.0,1.016184,1566.699,2.5,1,2
1468385.0,1.061456,118.0005,2.5,1,2
1530000.0,1.0,45.0,2.5,1,2
