energy,W187 + photon [inclusive] width,n + W186 width,J,Pi,L
5963.006,0.05181023,0.02344238,1.5,-1,1
6036.882,0.05084982,0.009173093,1.5,-1,1
6057.53,0.05401602,0.01215976,1.5,-1,1
6126.553,0.05332911,0.02902506,1.5,-1,1
6137.568,0.0509093,0.008710016,1.5,-1,1
6240.862,0.0548464,0.02029584,1.5,-1,1
6410.484,0.05135455,0.01000778,1.5,-1,1
6666.918,0.03710269,0.02448632,1.5,-1,1
6808.935,0.05133768,0.01488161,1.5,-1,1
7243.587,0.05120774,0.01186835,1.5,-1,1
7351.371,0.05017442,0.00899053,1.5,-1,1
7420.429,0.05367526,0.03047913,1.5,-1,1
7554.289,0.0564729,0.03080595,1.5,-1,1
7924.568,0.05137301,0.02271361,1.5,-1,1
8040.113,0.05622547,0.07416368,1.5,-1,1
8088.515,0.05314019,0.03404082,1.5,-1,1
8628.605,0.06,0.01190013,1.5,-1,1
8797.708,0.06,0.02290317,1.5,-1,1
8903.39,0.06,0.008876425,1.5,-1,1
9032.612,0.06,0.03902288,1.5,-1,1
9047.282,0.06,0.02123012,1.5,-1,1
9300.775,0.06,0.01366035,1.5,-1,1
9737.254,0.06,0.1213292,1.5,-1,1
9940.221,0.06,0.03875773,1.5,-1,1
