energy,Fe59 + photon [inclusive] width,n + Fe58 width,J,Pi,L
286280.0,0.295597,12.5094,1.5,1,2
302023.0,0.297559,49.4596,1.5,1,2
324888.0,0.300424,38.7276,1.5,1,2
346671.0,0.30317,483.703,1.5,1,2
18708.25,0.2446,0.11167,2.5,1,2
31412.04,0.2446,0.4626,2.5,1,2
38932.03,0.2446,0.021386,2.5,1,2
45848.83,0.23041,1.6927,2.5,1,2
68251.84,0.30268,3.3333,2.5,1,2
87864.74,0.6302,3.3333,2.5,1,2
88382.8,0.2446,4.2299,2.5,1,2
91553.19,0.42714,1.0762,2.5,1,2
102402.9,0.35301,0.28218,2.5,1,2
103500.9,0.2446,0.057669,2.5,1,2
119369.9,0.2446,3.8533,2.5,1,2
129758.6,0.33554,20.0,2.5,1,2
138140.1,0.51801,1.2774,2.5,1,2
142958.3,0.3741,33.333,2.5,1,2
156654.0,0.27977,9.38447,2.5,1,2
161104.0,0.280304,0.0270313,2.5,1,2
164472.0,0.280709,10.9348,2.5,1,2
171157.0,0.281512,10.3498,2.5,1,2
173895.0,0.281842,7.50721,2.5,1,2
189448.0,0.28372,0.0307071,2.5,1,2
199406.0,0.284926,199.304,2.5,1,2
209292.0,0.286127,110.983,2.5,1,2
219734.0,0.2874,4.04107,2.5,1,2
227980.0,0.288407,240.75,2.5,1,2
236301.0,0.289426,241.071,2.5,1,2
242798.0,0.290223,2.0914,2.5,1,2
252012.0,0.291357,19.9537,2.5,1,2
255542.0,0.291792,20.6466,2.5,1,2
258693.0,0.29218,25.1296,2.5,1,2
266934.0,0.293198,31.84,2.5,1,2
277307.0,0.294483,9.52742,2.5,1,2
286468.0,0.29562,21.2747,2.5,1,2
293768.0,0.296529,129.818,2.5,1,2
296371.0,0.296854,167.638,2.5,1,2
308439.0,0.298361,184.775,2.5,1,2
316902.0,0.299421,73.3797,2.5,1,2
327277.0,0.300724,27.3645,2.5,1,2
330576.0,0.301139,0.0298264,2.5,1,2
336942.0,0.301941,28.2595,2.5,1,2
349484.0,0.303526,18.3691,2.5,1,2
150981.0,0.278977,0.0462787,2.5,-1,3
154307.0,0.279375,0.0189167,2.5,-1,3
159978.0,0.280054,0.0603856,2.5,-1,3
167358.0,0.28094,0.0317025,2.5,-1,3
172429.0,0.28155,0.0074953,2.5,-1,3
177568.0,0.282169,0.000474292,2.5,-1,3
181068.0,0.282591,0.0160537,2.5,-1,3
183366.0,0.282869,0.0191635,2.5,-1,3
193660.0,0.284113,0.0139385,2.5,-1,3
197073.0,0.284527,0.36781,2.5,-1,3
209650.0,0.286054,0.00900813,2.5,-1,3
212466.0,0.286396,0.298791,2.5,-1,3
222096.0,0.28757,0.00143671,2.5,-1,3
228477.0,0.28835,0.0064728,2.5,-1,3
230580.0,0.288607,0.0207596,2.5,-1,3
239273.0,0.289672,0.447997,2.5,-1,3
242857.0,0.290112,0.532665,2.5,-1,3
250790.0,0.291087,0.183684,2.5,-1,3
264539.0,0.292782,0.313554,2.5,-1,3
268846.0,0.293315,0.00250848,2.5,-1,3
274807.0,0.294053,0.000555129,2.5,-1,3
288167.0,0.295711,0.17477,2.5,-1,3
295062.0,0.296569,0.515362,2.5,-1,3
299652.0,0.297142,0.198981,2.5,-1,3
312329.0,0.298726,0.0293284,2.5,-1,3
321858.0,0.29992,1.0612,2.5,-1,3
330842.0,0.30105,0.572696,2.5,-1,3
346959.0,0.303083,0.0865452,2.5,-1,3
153423.0,0.279269,0.000405721,3.5,-1,3
161560.0,0.280244,0.00773628,3.5,-1,3
173088.0,0.28163,0.20149,3.5,-1,3
183403.0,0.282873,0.0400132,3.5,-1,3
187280.0,0.283342,0.036377,3.5,-1,3
190936.0,0.283784,0.0581832,3.5,-1,3
199449.0,0.284815,0.0848233,3.5,-1,3
206945.0,0.285725,0.28751,3.5,-1,3
215699.0,0.28679,0.652836,3.5,-1,3
221710.0,0.287523,0.0737115,3.5,-1,3
224434.0,0.287856,0.0252852,3.5,-1,3
229891.0,0.288523,0.868818,3.5,-1,3
235135.0,0.289165,0.0122439,3.5,-1,3
245455.0,0.290431,0.959553,3.5,-1,3
254201.0,0.291507,0.0285789,3.5,-1,3
261387.0,0.292393,0.0851125,3.5,-1,3
268816.0,0.293311,0.279602,3.5,-1,3
279146.0,0.294591,0.00598859,3.5,-1,3
282824.0,0.295047,0.00568961,3.5,-1,3
295693.0,0.296648,0.173656,3.5,-1,3
296418.0,0.296738,0.206686,3.5,-1,3
298395.0,0.296985,0.0379837,3.5,-1,3
311063.0,0.298567,0.0709719,3.5,-1,3
320537.0,0.299755,0.272587,3.5,-1,3
324205.0,0.300215,0.538023,3.5,-1,3
331095.0,0.301081,0.118569,3.5,-1,3
335662.0,0.301657,0.0083101,3.5,-1,3
159820.0,0.28015,0.00332287,3.5,1,4
165840.0,0.280873,0.000311381,3.5,1,4
170426.0,0.281424,0.00449377,3.5,1,4
179843.0,0.282559,0.00846643,3.5,1,4
182592.0,0.282891,0.00213944,3.5,1,4
188891.0,0.283652,0.004546,3.5,1,4
197472.0,0.284692,0.000895287,3.5,1,4
204190.0,0.285507,0.014352,3.5,1,4
212071.0,0.286466,0.0010154,3.5,1,4
217662.0,0.287147,0.0246837,3.5,1,4
220260.0,0.287464,0.00142515,3.5,1,4
229719.0,0.28862,0.00578016,3.5,1,4
240460.0,0.289936,9.39631e-05,3.5,1,4
250504.0,0.291171,0.00158815,3.5,1,4
256574.0,0.291919,0.00952498,3.5,1,4
265113.0,0.292973,0.00560951,3.5,1,4
269069.0,0.293462,0.00718128,3.5,1,4
269540.0,0.293521,0.00081266,3.5,1,4
283331.0,0.295231,0.000350105,3.5,1,4
288106.0,0.295824,0.0049844,3.5,1,4
299523.0,0.297247,0.00808118,3.5,1,4
304610.0,0.297882,0.00103877,3.5,1,4
311920.0,0.298797,0.00235775,3.5,1,4
323616.0,0.300264,0.0154133,3.5,1,4
334726.0,0.301662,0.00667644,3.5,1,4
347025.0,0.303215,0.00816421,3.5,1,4
150812.0,0.279071,0.000417315,4.5,1,4
154282.0,0.279486,0.00548409,4.5,1,4
159049.0,0.280057,0.00752996,4.5,1,4
163460.0,0.280587,0.000102973,4.5,1,4
164894.0,0.280759,0.00149129,4.5,1,4
172647.0,0.281692,0.00330053,4.5,1,4
174999.0,0.281975,0.0103952,4.5,1,4
180487.0,0.282637,5.93221e-05,4.5,1,4
186393.0,0.28335,0.0334524,4.5,1,4
190744.0,0.283876,6.25747e-05,4.5,1,4
205738.0,0.285695,0.0079077,4.5,1,4
222634.0,0.287754,6.24896e-06,4.5,1,4
227741.0,0.288378,0.0569594,4.5,1,4
241854.0,0.290107,0.0108776,4.5,1,4
245488.0,0.290554,0.00351997,4.5,1,4
260701.0,0.292428,0.0137772,4.5,1,4
265754.0,0.293052,0.000101099,4.5,1,4
277858.0,0.294551,0.0005827,4.5,1,4
292016.0,0.296311,0.049606,4.5,1,4
292934.0,0.296425,0.00910829,4.5,1,4
297862.0,0.29704,0.0112221,4.5,1,4
301966.0,0.297552,0.0103355,4.5,1,4
317856.0,0.299541,0.000870416,4.5,1,4
329975.0,0.301064,0.00975523,4.5,1,4
331767.0,0.301289,0.0485701,4.5,1,4
342826.0,0.302684,0.0924774,4.5,1,4
