energy,Ta182 + photon [inclusive] width,n + Ta181 width,J,Pi,L
1699.885,0.06788029,0.05506213,3,1,0
1710.612,0.06799901,0.003150261,3,1,0
1714.098,0.06801647,0.05567125,3,1,0
1728.952,0.06799825,0.003811925,3,1,0
1733.624,0.06845108,0.1460811,3,1,0
1735.316,0.06783457,0.2069454,3,1,0
1736.933,0.06674387,0.2056169,3,1,0
1742.906,0.06782513,0.1243736,3,1,0
1752.116,0.06848826,0.1389724,3,1,0
1767.838,0.0684753,0.04849975,3,1,0
1776.002,0.0679983,0.001875673,3,1,0
1793.43,0.06800986,0.02333114,3,1,0
1810.507,0.06800605,0.004402425,3,1,0
1822.389,0.0680064,0.01098271,3,1,0
1839.326,0.06813998,0.02097417,3,1,0
1844.401,0.0680161,0.009053272,3,1,0
1854.109,0.0679874,0.007920359,3,1,0
1854.609,0.06684662,0.08594708,3,1,0
1854.996,0.06795655,0.008052007,3,1,0
1877.184,0.06832551,0.1766324,3,1,0
1893.098,0.06707449,0.05475808,3,1,0
1910.649,0.06800588,0.01051885,3,1,0
1917.116,0.06799911,0.00137348,3,1,0
1929.573,0.0674143,0.08266559,3,1,0
1937.619,0.06799535,0.002986272,3,1,0
1941.938,0.06782724,0.03386165,3,1,0
1959.949,0.06808403,0.01772093,3,1,0
1969.125,0.06799999,2.690501e-05,3,1,0
1979.054,0.06799683,0.003504273,3,1,0
1981.812,0.06799593,0.005391128,3,1,0
1999.445,0.06796884,0.09306961,3,1,0
2001.908,0.06795487,0.00996548,3,1,0
2015.414,0.06897697,0.140126,3,1,0
2016.964,0.06847527,0.09268572,3,1,0
2018.924,0.06850303,0.1183767,3,1,0
2021.161,0.06835233,0.1235887,3,1,0
2033.505,0.06801055,0.005106801,3,1,0
2038.636,0.06837895,0.08127571,3,1,0
2071.423,0.0679928,0.01089702,3,1,0
2084.929,0.068,1e-07,3,1,0
2089.677,0.06781147,0.02690069,3,1,0
2092.621,0.06799882,0.004018211,3,1,0
2099.296,0.0680612,0.02932696,3,1,0
2109.868,0.06801464,0.04504754,3,1,0
2132.818,0.06872484,0.2015192,3,1,0
2148.536,0.06832932,0.1059044,3,1,0
2153.47,0.0679966,0.01296993,3,1,0
2157.525,0.06798136,0.01059825,3,1,0
2169.514,0.0675666,0.08200082,3,1,0
2173.747,0.06800026,0.0003663973,3,1,0
2179.697,0.06799995,0.000147852,3,1,0
2199.797,0.06795086,0.05848955,3,1,0
2210.77,0.06732848,0.19632,3,1,0
2222.474,0.068,4.699853e-06,3,1,0
2236.128,0.06881679,0.1022579,3,1,0
2242.164,0.06750936,0.1111727,3,1,0
2251.905,0.06807818,0.01361162,3,1,0
2262.353,0.06798821,0.02835056,3,1,0
2269.896,0.0680072,0.007344627,3,1,0
2280.522,0.06861386,0.07509749,3,1,0
2283.332,0.06848617,0.1110718,3,1,0
2294.626,0.06800002,1.489726e-05,3,1,0
2308.14,0.06846461,0.07731878,3,1,0
2322.355,0.06838319,0.1308271,3,1,0
2324.306,0.06798885,0.6846714,3,1,0
2335.543,0.06861201,0.09521168,3,1,0
2348.698,0.06820452,0.1077331,3,1,0
2357.722,0.06838367,0.0626255,3,1,0
2361.791,0.06800753,0.01003836,3,1,0
2376.726,0.06771144,0.06112142,3,1,0
2386.422,0.06799357,0.005126182,3,1,0
2402.096,0.0695387,0.5094854,3,1,0
2412.442,0.06801569,0.008779157,3,1,0
2418.62,0.068,2.550065e-05,3,1,0
2433.073,0.06799997,9.639187e-05,3,1,0
2441.315,0.06803875,0.01372043,3,1,0
2453.412,0.06883412,0.1558243,3,1,0
2456.675,0.06802695,0.01252353,3,1,0
2463.756,0.06800029,0.001894647,3,1,0
2479.959,0.06809463,0.05859055,3,1,0
2486.87,0.06811571,0.09315352,3,1,0
2496.213,0.06817394,0.1664831,3,1,0
2501.153,0.06800181,0.004335496,3,1,0
2518.095,0.06800044,0.001268782,3,1,0
2526.511,0.06790869,0.1298153,3,1,0
2532.936,0.06808713,0.0639241,3,1,0
9988.877,0.068,18.26913,3,1,0
-7467.832,0.068,15.76351,4,1,0
-19.05,0.0255,0.063,4,1,0
4.280412,0.05411642,0.003531904,4,1,0
13.91496,0.07284679,0.0006574013,4,1,0
23.95051,0.06011226,0.005639965,4,1,0
34.21858,0.06819224,0.0001322849,4,1,0
35.93405,0.06195936,0.01605744,4,1,0
39.1534,0.05615353,0.04754463,4,1,0
57.57406,0.06769513,0.0002732934,4,1,0
63.16378,0.06518453,0.005073106,4,1,0
76.89908,0.06096161,0.01042253,4,1,0
77.65644,0.06670957,0.004803426,4,1,0
82.97885,0.06391194,0.01253434,4,1,0
85.61261,0.06784338,0.0003734124,4,1,0
97.06229,0.06675574,0.003248794,4,1,0
103.5661,0.06811253,0.000692972,4,1,0
115.1692,0.06405796,0.03738845,4,1,0
136.5507,0.06536857,0.02121815,4,1,0
138.471,0.06827884,0.01120038,4,1,0
148.4785,0.06807437,0.004431773,4,1,0
157.2021,0.06801581,6.748051e-05,4,1,0
159.8176,0.06802894,0.0002642564,4,1,0
166.4856,0.06888459,0.008132204,4,1,0
175.0111,0.06852925,0.08265752,4,1,0
175.817,0.06845811,0.04956019,4,1,0
182.6311,0.06810832,0.0008194826,4,1,0
185.5322,0.06806666,0.0006272724,4,1,0
194.89,0.06991687,0.1044469,4,1,0
219.8736,0.06850117,0.01395205,4,1,0
222.3127,0.06826997,0.002859536,4,1,0
225.2046,0.06917876,0.02224634,4,1,0
248.3359,0.06812778,0.001979415,4,1,0
253.1515,0.06800381,0.0001406931,4,1,0
259.2225,0.06992544,0.009800566,4,1,0
263.2792,0.06960924,0.04598561,4,1,0
264.6972,0.06847031,0.01062564,4,1,0
271.8319,0.06859541,0.009854351,4,1,0
277.3105,0.06789632,0.02782108,4,1,0
290.375,0.06853596,0.01444373,4,1,0
304.1538,0.06830784,0.004954768,4,1,0
313.2242,0.06904387,0.05661677,4,1,0
322.912,0.06832213,0.005781274,4,1,0
341.5146,0.06813262,0.004903527,4,1,0
346.8018,0.06856542,0.01682971,4,1,0
349.2039,0.06859246,0.02684101,4,1,0
354.2748,0.06924328,0.03090019,4,1,0
370.3181,0.06918516,0.03583796,4,1,0
378.4581,0.06855256,0.009555345,4,1,0
379.4424,0.06821065,0.005765702,4,1,0
382.0107,0.0679936,0.0002422241,4,1,0
396.6795,0.06813172,0.01093865,4,1,0
410.0432,0.06684635,0.08255267,4,1,0
419.9475,0.06801056,0.001083814,4,1,0
429.0681,0.06805783,0.006662439,4,1,0
449.7701,0.06805704,0.01013762,4,1,0
461.5942,0.06758788,0.04347141,4,1,0
467.7635,0.06625875,0.08722803,4,1,0
471.6476,0.06788275,0.03729622,4,1,0
473.4788,0.06800713,0.001910911,4,1,0
483.7274,0.06812417,0.008522541,4,1,0
490.3135,0.06717519,0.03454811,4,1,0
495.455,0.06806414,0.007430476,4,1,0
497.6685,0.06798503,0.0008739196,4,1,0
500.1613,0.06806576,0.003053228,4,1,0
502.0992,0.06768111,0.05824215,4,1,0
519.4456,0.06800144,0.01428059,4,1,0
522.9204,0.06597153,0.08666444,4,1,0
527.622,0.06746217,0.08878003,4,1,0
536.3757,0.06813257,0.01393532,4,1,0
554.3678,0.0680384,0.004899103,4,1,0
557.2048,0.06862993,0.03901402,4,1,0
567.2089,0.06801943,0.003282416,4,1,0
588.6422,0.06799559,0.0006995444,4,1,0
591.7127,0.06580286,0.03781857,4,1,0
596.1564,0.06766058,0.03536605,4,1,0
606.2588,0.06808751,0.007681506,4,1,0
617.8026,0.0687121,0.0563991,4,1,0
624.5594,0.06852376,0.02762372,4,1,0
642.7222,0.06801333,0.001050079,4,1,0
651.6922,0.06815477,0.0638801,4,1,0
667.1337,0.06809761,0.00871793,4,1,0
675.2172,0.06801703,0.002238085,4,1,0
678.4188,0.06799083,0.009374974,4,1,0
681.0921,0.06798732,0.04833996,4,1,0
696.4773,0.06736702,0.05049169,4,1,0
700.2256,0.06801193,0.00207412,4,1,0
716.4167,0.06581008,0.09768955,4,1,0
729.76,0.06752751,0.01766827,4,1,0
732.4049,0.06686317,0.157214,4,1,0
739.7364,0.06924536,0.1057685,4,1,0
747.7486,0.06720168,0.05222643,4,1,0
752.5467,0.06799851,0.0006495724,4,1,0
756.1594,0.0680094,0.003285413,4,1,0
758.0004,0.06673483,0.05652591,4,1,0
760.892,0.06828699,0.01811486,4,1,0
777.7576,0.06800541,0.001370126,4,1,0
802.4686,0.06800036,0.000136909,4,1,0
805.5927,0.06795872,0.003647065,4,1,0
807.4082,0.0679997,8.913082e-05,4,1,0
808.753,0.06681864,0.05614187,4,1,0
813.563,0.06586351,0.1090328,4,1,0
825.9411,0.06798861,0.01651154,4,1,0
830.9872,0.06800675,0.002473528,4,1,0
833.8329,0.06774778,0.05173643,4,1,0
847.5708,0.06782234,0.01862167,4,1,0
855.5415,0.06800109,0.0006387695,4,1,0
862.0447,0.06800078,0.0003788288,4,1,0
871.2528,0.06820533,0.0157921,4,1,0
874.616,0.06761844,0.04845482,4,1,0
881.5222,0.06790227,0.01297421,4,1,0
887.0687,0.06800574,0.003332495,4,1,0
895.4114,0.06811519,0.04441858,4,1,0
897.6109,0.06807256,0.0294875,4,1,0
907.1805,0.06799148,0.0043083,4,1,0
909.1125,0.06664058,0.06137737,4,1,0
919.9049,0.06767727,0.04252764,4,1,0
926.1439,0.06739356,0.05368645,4,1,0
930.35,0.06813557,0.1163526,4,1,0
937.0999,0.06803981,0.008979116,4,1,0
942.8501,0.06726182,0.1320852,4,1,0
948.2048,0.06748932,0.140115,4,1,0
952.8008,0.06817583,0.02718972,4,1,0
956.4738,0.0679997,0.005287966,4,1,0
965.4933,0.06833004,0.02623635,4,1,0
969.1161,0.06787945,0.03005963,4,1,0
982.8671,0.06814923,0.02039373,4,1,0
983.7993,0.06793009,0.03136317,4,1,0
996.7393,0.06756913,0.04288455,4,1,0
1006.921,0.068226,0.01245071,4,1,0
1026.256,0.06796561,0.01235846,4,1,0
1033.897,0.06787089,0.0380773,4,1,0
1036.207,0.06595361,0.2761204,4,1,0
1071.881,0.07021689,0.1644362,4,1,0
1073.913,0.06747689,0.04147415,4,1,0
1080.779,0.06785743,0.07593883,4,1,0
1082.696,0.06773551,0.04577471,4,1,0
1097.556,0.06786398,0.08347263,4,1,0
1103.927,0.06802678,0.006036833,4,1,0
1119.947,0.06797985,0.009608633,4,1,0
1131.499,0.0688086,0.07720011,4,1,0
1138.925,0.06815309,0.01428691,4,1,0
1151.926,0.06769099,0.1651322,4,1,0
1157.703,0.0673525,0.0464085,4,1,0
1175.709,0.06888346,0.1356799,4,1,0
1178.748,0.06842526,0.1992998,4,1,0
1204.524,0.06821744,0.02467632,4,1,0
1216.693,0.06799331,0.002820328,4,1,0
1219.292,0.06752037,0.02352926,4,1,0
1221.076,0.06785639,0.0138966,4,1,0
1238.247,0.06800257,0.001561085,4,1,0
1240.561,0.06799417,0.01596732,4,1,0
1248.588,0.06653413,0.07534163,4,1,0
1263.85,0.06802249,0.03742685,4,1,0
1268.75,0.06799109,0.007121952,4,1,0
1276.594,0.06630172,0.0832639,4,1,0
1280.761,0.06799709,0.004880867,4,1,0
1283.991,0.06823951,0.01910425,4,1,0
1287.797,0.06802903,0.0179195,4,1,0
1300.616,0.06905453,0.1638273,4,1,0
1311.126,0.06800506,0.003341832,4,1,0
1324.003,0.06796584,0.009414573,4,1,0
1333.487,0.06796113,0.02538814,4,1,0
1336.013,0.06659743,0.07442426,4,1,0
1342.988,0.06803351,0.006001333,4,1,0
1350.193,0.06799837,0.003352238,4,1,0
1352.789,0.06796617,0.01151207,4,1,0
1360.14,0.0679973,0.004727827,4,1,0
1361.358,0.06764272,0.06038552,4,1,0
1362.93,0.06698508,0.09041409,4,1,0
1364.464,0.06551949,0.1081487,4,1,0
1372.687,0.06801549,0.01924031,4,1,0
1377.704,0.06803123,0.07381262,4,1,0
1399.088,0.06822419,0.1842723,4,1,0
1418.181,0.06797131,0.01187208,4,1,0
1444.504,0.06794553,0.01523956,4,1,0
1451.543,0.06845338,0.05542317,4,1,0
1465.978,0.06807447,0.01052731,4,1,0
1469.246,0.06814996,0.01476106,4,1,0
1471.406,0.06800869,0.004739923,4,1,0
1476.201,0.0665258,0.1247532,4,1,0
1490.855,0.06799617,0.006227036,4,1,0
1494.786,0.06800236,0.002286909,4,1,0
1508.355,0.06802943,0.004382144,4,1,0
1520.685,0.06738618,0.08384078,4,1,0
1523.897,0.06637851,0.2682239,4,1,0
1532.554,0.06831655,0.0629596,4,1,0
1537.851,0.06799771,0.01203778,4,1,0
1555.512,0.06824995,0.04728097,4,1,0
1566.114,0.06583969,0.1107211,4,1,0
1577.251,0.06799436,0.008807197,4,1,0
1579.975,0.06735462,0.0421242,4,1,0
1586.132,0.06724656,0.09848164,4,1,0
1587.132,0.06757421,0.04180465,4,1,0
1602.839,0.0679351,0.007953743,4,1,0
1608.719,0.06648345,0.08328907,4,1,0
1615.214,0.0680964,0.01491345,4,1,0
1617.429,0.06706903,0.09203923,4,1,0
1623.903,0.06842333,0.05607146,4,1,0
1625.776,0.06815245,0.04223739,4,1,0
1630.744,0.0679361,0.01395267,4,1,0
1649.405,0.067461,0.1055126,4,1,0
1652.973,0.06803854,0.04493755,4,1,0
1656.814,0.06759354,0.04650938,4,1,0
1679.045,0.06833494,0.1387234,4,1,0
1681.853,0.06802091,0.0104878,4,1,0
1693.261,0.06785052,0.04855657,4,1,0
1697.896,0.06733818,0.329478,4,1,0
1701.241,0.06798671,0.006853118,4,1,0
1705.004,0.06801728,0.01253495,4,1,0
1720.998,0.06772239,0.07435107,4,1,0
1743.843,0.06782761,0.04539479,4,1,0
1771.017,0.06802146,0.03499967,4,1,0
1778.8,0.06798027,0.004301062,4,1,0
1780.402,0.06798597,0.00367086,4,1,0
1785.196,0.0680785,0.0164409,4,1,0
1797.138,0.0680006,0.009148683,4,1,0
1801.778,0.06706696,0.08838902,4,1,0
1811.231,0.06806985,0.01976151,4,1,0
1821.899,0.0679995,0.001178437,4,1,0
1830.493,0.06799711,0.00936729,4,1,0
1843.478,0.06828224,0.03629598,4,1,0
1845.189,0.06808245,0.02531894,4,1,0
1848.282,0.06797678,0.008037294,4,1,0
1856.01,0.06775017,0.01750557,4,1,0
1866.395,0.06791826,0.09451119,4,1,0
1887.654,0.0671082,0.1177713,4,1,0
1891.336,0.06749882,0.02843874,4,1,0
1903.044,0.06812627,0.03161005,4,1,0
1909.872,0.068,4.999996e-07,4,1,0
1917.519,0.06796006,0.008003532,4,1,0
1927.059,0.06799937,0.001161442,4,1,0
1934.371,0.0667841,0.08454977,4,1,0
1937.136,0.06792582,0.01288254,4,1,0
1943.629,0.06797636,0.00743262,4,1,0
1945.365,0.06790057,0.0361552,4,1,0
1951.088,0.06839133,0.09613692,4,1,0
1965.482,0.06786571,0.03199053,4,1,0
1970.296,0.06800896,0.006747533,4,1,0
1971.681,0.06802909,0.02605989,4,1,0
1982.903,0.06798315,0.007657499,4,1,0
1990.215,0.06806146,0.02263318,4,1,0
1997.708,0.06789775,0.02329073,4,1,0
2001.84,0.06769835,0.02443675,4,1,0
2005.573,0.0679254,0.01745926,4,1,0
2024.23,0.06759693,0.05582846,4,1,0
2038.927,0.06810303,0.02718252,4,1,0
2057.14,0.06837783,0.05059201,4,1,0
2063.316,0.06804378,0.07120108,4,1,0
2069.648,0.06803956,0.0164537,4,1,0
