energy,Ce143 + photon [inclusive] width,n + Ce142 width,J,Pi,L
1689.164,0.05010735,0.01778573,0.5,-1,1
2966.69,0.1838084,0.01276935,0.5,-1,1
4293.995,0.1003761,0.1257357,0.5,-1,1
5816.156,0.4757615,0.06042773,0.5,-1,1
8151.346,0.04921468,3.216668,0.5,-1,1
10868.59,0.05019075,0.04874127,0.5,-1,1
11488.97,0.02828604,0.05479884,0.5,-1,1
12484.58,0.05455362,0.07826745,0.5,-1,1
13039.7,0.1020756,0.05976877,0.5,-1,1
14356.94,0.05575764,0.03916189,0.5,-1,1
15845.89,0.0405771,0.204891,0.5,-1,1
17342.49,0.03246229,13.73297,0.5,-1,1
20590.07,0.06743894,22.74035,0.5,-1,1
22618.75,0.183504,144.514,0.5,-1,1
23227.01,0.3181778,203.9877,0.5,-1,1
24489.89,0.08916527,0.06760762,0.5,-1,1
26004.02,0.07188804,1.756523,0.5,-1,1
27272.55,0.09020363,0.3773289,0.5,-1,1
28480.4,0.1193395,0.2011541,0.5,-1,1
30804.48,0.09072789,0.6124523,0.5,-1,1
34213.24,0.06537832,0.3660185,0.5,-1,1
36120.9,0.121947,0.7645167,0.5,-1,1
40335.3,0.1202269,0.734872,0.5,-1,1
43080.21,0.07064226,0.4727491,0.5,-1,1
46381.68,0.1970167,0.2329417,0.5,-1,1
51350.28,0.1908981,0.9521982,0.5,-1,1
53170.8,0.1612358,0.604267,0.5,-1,1
53717.15,0.06258092,0.06015036,0.5,-1,1
55586.85,0.1933457,0.6206641,0.5,-1,1
57018.47,0.1247022,0.9845874,0.5,-1,1
58056.49,0.1099991,5.485012,0.5,-1,1
60249.23,0.1599236,61.91015,0.5,-1,1
61311.84,0.2675546,1.04017,0.5,-1,1
62191.78,0.04093663,7.67876,0.5,-1,1
63563.33,0.08115498,0.9087355,0.5,-1,1
64479.17,0.06791594,2.226859,0.5,-1,1
65138.06,0.1116791,1.309701,0.5,-1,1
66328.56,0.1093985,1.247158,0.5,-1,1
67287.55,0.1096427,10.28314,0.5,-1,1
68698.77,0.1195312,1.464177,0.5,-1,1
70106.17,0.07605121,1.580167,0.5,-1,1
71479.47,0.1376958,1.351133,0.5,-1,1
72238.22,0.1199196,1.452419,0.5,-1,1
73301.64,0.109979,0.978248,0.5,-1,1
75091.12,0.1106563,4.991315,0.5,-1,1
75428.76,0.08729925,39.78279,0.5,-1,1
75862.19,0.02248911,1.005961,0.5,-1,1
76454.4,0.04741106,6.486029,0.5,-1,1
77476.62,0.07505466,2.952531,0.5,-1,1
82795.45,0.1644618,2.686287,0.5,-1,1
84443.24,0.1081501,2.09309,0.5,-1,1
85909.64,0.2893724,2.266732,0.5,-1,1
86782.14,0.1487763,6.264017,0.5,-1,1
87934.17,0.3035118,146.9167,0.5,-1,1
90734.35,0.02118841,17.50337,0.5,-1,1
91873.94,0.2554786,5.468911,0.5,-1,1
92805.22,0.2079086,1.48667,0.5,-1,1
93904.68,0.3407404,54.45644,0.5,-1,1
95284.09,0.04390525,4.309713,0.5,-1,1
100816.2,0.0514979,70.4311,0.5,-1,1
103878.1,2.734628,38.45353,0.5,-1,1
105825.8,0.04741296,10.07347,0.5,-1,1
109190.2,0.06040622,12.21045,0.5,-1,1
110522.1,0.06690999,118.3276,0.5,-1,1
113016.2,0.06275206,20.76091,0.5,-1,1
115214.9,0.04887275,6.150553,0.5,-1,1
116841.6,0.06777597,10.20248,0.5,-1,1
121242.4,0.07932217,16.81411,0.5,-1,1
124328.0,0.06025969,9.174782,0.5,-1,1
127276.5,0.1313084,83.8257,0.5,-1,1
133586.1,0.2922908,2.918239,0.5,-1,1
138437.7,1.202232,100.8945,0.5,-1,1
141953.3,0.2502503,2.874406,0.5,-1,1
143293.5,0.3582895,43.83831,0.5,-1,1
148131.9,0.5301307,8.615953,0.5,-1,1
158261.4,0.7976185,78.32785,0.5,-1,1
162159.5,1.08452,21.02021,0.5,-1,1
168723.1,0.7415297,18.00397,0.5,-1,1
171472.7,0.878543,25.31901,0.5,-1,1
190185.4,0.4746736,14.0942,0.5,-1,1
193397.2,0.190771,23.22815,0.5,-1,1
1154.108,0.2167804,0.01533456,1.5,-1,1
1742.246,0.02402941,0.07133545,1.5,-1,1
2941.948,0.05605454,0.00463241,1.5,-1,1
5188.784,0.03998003,0.03980432,1.5,-1,1
5964.175,0.104185,0.0124194,1.5,-1,1
6425.918,0.02738723,0.08729006,1.5,-1,1
7478.663,0.02261534,0.05852576,1.5,-1,1
8340.897,0.0394046,0.09329892,1.5,-1,1
8850.836,0.6615628,0.02118674,1.5,-1,1
9437.917,0.0185551,0.3303871,1.5,-1,1
9645.449,0.03704602,0.1459326,1.5,-1,1
11354.58,0.03688162,0.1159955,1.5,-1,1
12231.07,0.02905054,0.1581302,1.5,-1,1
13856.09,0.0309841,0.05281968,1.5,-1,1
15127.54,0.03762126,0.05093113,1.5,-1,1
16201.93,0.06232655,0.04675537,1.5,-1,1
17765.64,0.03471247,0.3329079,1.5,-1,1
19987.29,0.05261449,0.07596416,1.5,-1,1
20763.25,0.02168754,0.6386309,1.5,-1,1
21329.29,0.002393666,0.02996454,1.5,-1,1
22747.74,0.03386442,1.229711,1.5,-1,1
23879.39,0.01637975,0.08749062,1.5,-1,1
25396.96,0.01402723,0.7516121,1.5,-1,1
28053.07,0.03881138,2.707465,1.5,-1,1
29995.55,0.041395,2.362424,1.5,-1,1
31682.26,0.05616368,0.08610733,1.5,-1,1
32406.97,0.03779202,1.688169,1.5,-1,1
33415.13,0.04577833,0.1736897,1.5,-1,1
34638.21,0.0446861,1.785242,1.5,-1,1
35406.17,0.08410757,1.26317,1.5,-1,1
37684.64,0.05986859,0.5004766,1.5,-1,1
38798.89,0.05675763,0.6369543,1.5,-1,1
41175.93,0.03892226,2.890497,1.5,-1,1
44354.06,0.06912935,2.145197,1.5,-1,1
45565.48,0.05603144,0.1379269,1.5,-1,1
52467.56,0.130605,0.4701723,1.5,-1,1
53791.54,0.05202592,5.734183,1.5,-1,1
57236.67,0.09458598,0.2636681,1.5,-1,1
59077.35,0.06378959,2.348981,1.5,-1,1
59472.94,0.05879246,0.6069506,1.5,-1,1
60531.41,0.08416735,11.5716,1.5,-1,1
60974.89,0.1086332,0.5034302,1.5,-1,1
61821.35,0.05531127,0.3328843,1.5,-1,1
62570.25,0.03604265,0.869966,1.5,-1,1
64071.85,0.1037699,0.4171624,1.5,-1,1
65827.65,0.08251503,0.4392691,1.5,-1,1
66202.63,0.04032956,1.273287,1.5,-1,1
66710.59,0.08393849,2.842699,1.5,-1,1
68382.4,0.07953056,1.474495,1.5,-1,1
69286.1,0.05835056,0.4686402,1.5,-1,1
69993.46,0.02727019,2.041285,1.5,-1,1
71114.05,0.03174507,10.0302,1.5,-1,1
71629.25,0.08318867,1.241775,1.5,-1,1
71946.47,0.09235799,0.5199087,1.5,-1,1
74001.41,0.06491747,0.4123915,1.5,-1,1
75322.17,0.08864002,6.906666,1.5,-1,1
75655.82,0.02289773,1.248944,1.5,-1,1
76775.55,0.1064588,0.7410576,1.5,-1,1
77340.09,0.0526424,2.649811,1.5,-1,1
77613.36,0.1021029,3.907255,1.5,-1,1
79608.46,0.0699061,1.553312,1.5,-1,1
81868.42,0.09994962,2.30306,1.5,-1,1
83233.77,0.1117176,1.444542,1.5,-1,1
84970.6,0.09143023,14.95028,1.5,-1,1
85380.21,0.08710685,2.41134,1.5,-1,1
86943.87,0.1212119,28.11589,1.5,-1,1
88806.19,0.08963602,6.011389,1.5,-1,1
89347.33,0.1046437,10.57753,1.5,-1,1
91354.65,0.08262304,5.455722,1.5,-1,1
92065.79,0.1356782,4.700005,1.5,-1,1
93364.09,0.06347458,0.7905478,1.5,-1,1
94906.55,0.1772855,10.17005,1.5,-1,1
96772.43,0.04772866,12.76959,1.5,-1,1
102965.7,0.05434711,17.56336,1.5,-1,1
107808.8,0.06705697,7.565534,1.5,-1,1
112076.6,0.08708091,2.016943,1.5,-1,1
115624.1,0.0641191,0.3139722,1.5,-1,1
118033.8,0.06055305,20.85202,1.5,-1,1
123058.4,0.1181303,7.317289,1.5,-1,1
126232.2,0.2684706,1.51895,1.5,-1,1
127767.7,0.106879,29.07357,1.5,-1,1
131853.9,0.2692398,50.99962,1.5,-1,1
135293.1,0.6325584,1.588992,1.5,-1,1
137255.4,0.5115787,91.5101,1.5,-1,1
146537.3,0.5027921,49.91711,1.5,-1,1
150759.4,0.4524401,10.74857,1.5,-1,1
153825.5,0.2074668,0.9437319,1.5,-1,1
157786.8,0.6124709,2.329047,1.5,-1,1
160709.6,0.5101001,16.54208,1.5,-1,1
165681.9,0.25832,10.14354,1.5,-1,1
170359.7,0.4919986,4.474392,1.5,-1,1
178656.7,0.2719983,3.387292,1.5,-1,1
191965.5,0.4197962,2.200237,1.5,-1,1
195246.7,0.2806303,38.99133,1.5,-1,1
