energy,Gd155 + photon [inclusive] width,n + Gd154 width,J,Pi,L
1576.7,0.07389997,0.121,0.5,1,0
1595.3,0.07389998,0.016,0.5,1,0
1608.2,0.07389998,0.02,0.5,1,0
1626.3,0.07389998,0.168,0.5,1,0
1639.1,0.07389997,0.023,0.5,1,0
1659.7,0.07389997,0.09200001,0.5,1,0
1673.0,0.07389997,0.131,0.5,1,0
1680.9,0.07389997,0.044,0.5,1,0
1700.4,0.07389997,0.034,0.5,1,0
1721.8,0.07389999,0.133,0.5,1,0
1722.8,0.07389996,0.133,0.5,1,0
1738.8,0.07389997,0.138,0.5,1,0
1764.3,0.08199997,0.76,0.5,1,0
1776.4,0.07389997,0.18,0.5,1,0
1780.8,0.07389996,0.013,0.5,1,0
1812.9,0.07389997,0.034,0.5,1,0
1845.0,0.07389997,0.07400001,0.5,1,0
1852.5,0.07389997,0.09300001,0.5,1,0
1857.9,0.07389996,0.08800001,0.5,1,0
1870.3,0.07389998,0.172,0.5,1,0
1896.6,0.07389997,0.147,0.5,1,0
1922.5,0.07389997,0.041,0.5,1,0
1936.8,0.07389998,0.015,0.5,1,0
1952.0,0.07389997,0.125,0.5,1,0
1962.1,0.07389997,0.143,0.5,1,0
1977.7,0.07389998,0.251,0.5,1,0
2001.2,0.07389997,0.06200001,0.5,1,0
2014.7,0.07389996,0.028,0.5,1,0
2022.2,0.07389998,0.158,0.5,1,0
2031.8,0.07389997,0.07300001,0.5,1,0
2051.7,0.07389998,0.163,0.5,1,0
2074.0,0.07389997,0.127,0.5,1,0
2083.8,0.07389997,0.012,0.5,1,0
2090.3,0.0739,0.008999998,0.5,1,0
2110.2,0.07389999,0.013,0.5,1,0
2125.9,0.07389997,0.08400001,0.5,1,0
2138.2,0.07390001,0.006299998,0.5,1,0
2150.6,0.07389996,0.025,0.5,1,0
2172.8,0.07399998,0.914,0.5,1,0
2190.2,0.07389996,0.015,0.5,1,0
2201.7,0.07389997,0.037,0.5,1,0
2214.6,0.07389997,0.044,0.5,1,0
2242.0,0.06199998,0.57,0.5,1,0
2258.5,0.07389997,0.026,0.5,1,0
2270.4,0.07389999,0.016,0.5,1,0
2289.5,0.07389997,0.043,0.5,1,0
2304.0,0.07389997,0.047,0.5,1,0
2335.1,0.07389997,0.143,0.5,1,0
2345.1,0.07389998,0.132,0.5,1,0
2345.101,0.07389998,0.132,0.5,1,0
2360.8,0.0739,0.013,0.5,1,0
2396.1,0.07390002,0.007499997,0.5,1,0
2405.7,0.07389999,0.025,0.5,1,0
2422.1,0.07389997,0.07900001,0.5,1,0
2431.0,0.07389998,0.07300001,0.5,1,0
2463.2,0.07389999,0.025,0.5,1,0
2480.8,0.07389997,0.07600001,0.5,1,0
2498.9,0.07389997,0.123,0.5,1,0
2509.2,0.07389998,0.123,0.5,1,0
2538.8,0.07389998,0.036,0.5,1,0
2544.5,0.07389998,0.066,0.5,1,0
2568.9,0.0739,0.014,0.5,1,0
2581.7,0.07389997,0.06900001,0.5,1,0
2591.5,0.07389996,0.026,0.5,1,0
2602.5,0.07389992,0.015,0.5,1,0
2612.7,0.07099998,1.0,0.5,1,0
2632.2,0.07199997,0.691,0.5,1,0
2641.3,0.07389997,0.08800001,0.5,1,0
2662.7,0.07389998,0.289,0.5,1,0
2700.4,0.07390008,0.03199996,0.5,1,0
2714.5,0.07390003,0.04499989,0.5,1,0
2751.8,0.07389997,0.09099968,0.5,1,0
