energy,Pb209 + photon [inclusive] width,n + Pb208 width,J,Pi,L
1056145.0,0.186,264.775,1.5,1,2
1114165.0,0.00186,2291.799,1.5,1,2
1172848.0,0.00186,502.6137,1.5,1,2
1276089.0,0.00186,6321.052,1.5,1,2
1339551.0,0.00186,307.2603,1.5,1,2
1377135.0,0.00186,3396.558,1.5,1,2
1378812.0,0.00186,4710.346,1.5,1,2
1424041.0,0.00186,588.7994,1.5,1,2
8000000.0,1.052,36064000.0,1.5,1,2
-2370000.0,1.052,30849.0,2.5,1,2
130170.0,0.127,9.7,2.5,1,2
168000.0,1.05,7.6,2.5,1,2
527100.0,1.733,4625.0,2.5,1,2
615900.0,1.052,30.0,2.5,1,2
699500.0,1.052,304.0,2.5,1,2
721000.0,2.047,3938.0,2.5,1,2
815700.0,2.0,8916.0,2.5,1,2
949600.0,1.052,391.0,2.5,1,2
1018900.0,0.186,119.6272,2.5,1,2
1028250.0,0.186,1890.178,2.5,1,2
1036480.0,0.186,704.5703,2.5,1,2
1060078.0,0.186,321.3023,2.5,1,2
1082478.0,0.00186,292.4902,2.5,1,2
1088994.0,0.00186,527.5668,2.5,1,2
1117592.0,0.00186,684.4858,2.5,1,2
1127094.0,0.00186,1676.478,2.5,1,2
1173848.0,0.00186,492.6137,2.5,1,2
1190474.0,0.00186,1052.072,2.5,1,2
1191978.0,0.00186,189.5216,2.5,1,2
1198952.0,0.00186,705.4515,2.5,1,2
1213591.0,0.00186,365.2359,2.5,1,2
1226168.0,0.00186,1238.981,2.5,1,2
1232171.0,0.00186,1019.443,2.5,1,2
1238168.0,0.00186,125.7583,2.5,1,2
1250171.0,0.00186,819.3739,2.5,1,2
1280174.0,0.00186,616.6822,2.5,1,2
1347935.0,0.00186,454.7978,2.5,1,2
1373488.0,0.00186,208.5944,2.5,1,2
1411257.0,0.00186,984.8165,2.5,1,2
1440713.0,0.00186,605.3912,2.5,1,2
8000000.0,1.052,6383100.0,2.5,1,2
354000.0,1.942,23.0,2.5,-1,3
438300.0,0.142,10.5,2.5,-1,3
583600.0,1.942,34.0,2.5,-1,3
597600.0,1.942,74.0,2.5,-1,3
609100.0,1.942,119.0,2.5,-1,3
634900.0,1.942,623.0,2.5,-1,3
686800.0,1.942,191.0,2.5,-1,3
693200.0,1.942,74.0,2.5,-1,3
739100.0,1.713,193.0,2.5,-1,3
786100.0,2.88,116.0,2.5,-1,3
824000.0,1.086,221.0,2.5,-1,3
861000.0,1.942,810.0,2.5,-1,3
920500.0,1.942,330.0,2.5,-1,3
1048000.0,0.186,280.3668,2.5,-1,3
1186541.0,0.00186,702.0998,2.5,-1,3
1218552.0,0.00186,121.0556,2.5,-1,3
1260465.0,0.00186,185.2151,2.5,-1,3
1284571.0,0.00186,316.0553,2.5,-1,3
1291051.0,0.00186,599.7358,2.5,-1,3
1320500.0,0.00186,113.1942,2.5,-1,3
1323510.0,0.00186,113.175,2.5,-1,3
1367506.0,0.00186,110.3987,2.5,-1,3
1394589.0,0.00186,242.7904,2.5,-1,3
1474945.0,0.00186,5804.893,2.5,-1,3
8000000.0,1.942,10018000.0,2.5,-1,3
567600.0,1.942,16.2,3.5,-1,3
613000.0,1.942,140.0,3.5,-1,3
636100.0,1.942,293.0,3.5,-1,3
723000.0,1.942,165.0,3.5,-1,3
764900.0,1.568,369.0,3.5,-1,3
814100.0,1.942,114.0,3.5,-1,3
832100.0,1.942,80.0,3.5,-1,3
911600.0,1.942,276.0,3.5,-1,3
1017400.0,0.186,50.51937,3.5,-1,3
1024300.0,0.186,89.18743,3.5,-1,3
1033550.0,0.186,293.6745,3.5,-1,3
1058044.0,0.186,109.3043,3.5,-1,3
1078151.0,0.00186,47.67734,3.5,-1,3
1087658.0,0.00186,336.4904,3.5,-1,3
1091460.0,0.00186,385.9116,3.5,-1,3
1122896.0,0.00186,639.5862,3.5,-1,3
1149524.0,0.00186,1209.806,3.5,-1,3
1163988.0,0.00186,193.3995,3.5,-1,3
1178476.0,0.00186,91.95992,3.5,-1,3
1205520.0,0.00186,271.8411,3.5,-1,3
1232571.0,0.00186,2019.443,3.5,-1,3
1262502.0,0.00186,59.19471,3.5,-1,3
1311838.0,0.00186,320.0539,3.5,-1,3
1351412.0,0.00186,433.2343,3.5,-1,3
1406252.0,0.00186,1090.83,3.5,-1,3
1427894.0,0.00186,1193.539,3.5,-1,3
1431274.0,0.00186,268.0854,3.5,-1,3
1441513.0,0.00186,259.2498,3.5,-1,3
1484249.0,0.00186,709.854,3.5,-1,3
8000000.0,1.942,21968000.0,3.5,-1,3
