energy,Ni59 + photon [inclusive] width,n + Ni58 width,J,Pi,L
292924.8,1.076439,6.939759,1.5,1,2
297653.8,0.8919591,17.13047,1.5,1,2
299501.0,0.3887781,0.7480891,1.5,1,2
301641.0,0.5809246,51.90484,1.5,1,2
304870.8,0.3104045,1.217766,1.5,1,2
305209.7,0.7576404,96.29486,1.5,1,2
312001.6,0.8803399,6.833887,1.5,1,2
313018.7,0.9022118,1.723881,1.5,1,2
313311.5,0.5909787,4.483378,1.5,1,2
321321.8,0.7032804,22.08384,1.5,1,2
321567.1,0.536646,1.873301,1.5,1,2
337399.4,0.701725,2.570633,1.5,1,2
338020.0,0.7923589,0.3356311,1.5,1,2
341167.9,1.456988,8.21008,1.5,1,2
359917.8,0.844334,62.00236,1.5,1,2
360132.5,0.4678439,8.613669,1.5,1,2
363460.2,1.133276,12.85605,1.5,1,2
367976.0,0.5282243,2.85594,1.5,1,2
370105.9,1.057257,6.696614,1.5,1,2
376338.2,0.8002325,10.57922,1.5,1,2
391570.0,0.9024815,0.6163237,1.5,1,2
395078.6,0.9617006,14.79045,1.5,1,2
400650.0,0.697445,10.06292,1.5,1,2
407020.0,0.386649,50.41268,1.5,1,2
408490.0,0.9955521,12.43187,1.5,1,2
425396.9,1.270911,10.44196,1.5,1,2
426784.2,0.7142686,167.8767,1.5,1,2
428695.6,0.5235478,7.405024,1.5,1,2
431776.8,0.3738673,3.941377,1.5,1,2
434733.2,0.9650803,5.151939,1.5,1,2
439223.3,0.6628843,74.52665,1.5,1,2
463311.7,1.677307,159.673,1.5,1,2
482737.6,1.435144,13.31739,1.5,1,2
485750.9,1.431224,8.505932,1.5,1,2
487152.1,1.928836,18.94357,1.5,1,2
495340.3,0.5749667,12.52194,1.5,1,2
506873.2,1.792811,38.0273,1.5,1,2
508240.9,0.9936621,71.01536,1.5,1,2
508565.3,1.02362,52.37267,1.5,1,2
509505.8,1.237334,11.07189,1.5,1,2
515889.3,0.7885916,5.116301,1.5,1,2
539871.0,1.19171,83.53052,1.5,1,2
550185.3,0.8457029,55.11614,1.5,1,2
553933.1,0.5814827,28.95591,1.5,1,2
558305.7,0.7680796,9.152875,1.5,1,2
566366.3,0.9574655,31.14828,1.5,1,2
569557.7,1.758586,51.62497,1.5,1,2
575888.4,1.433839,167.4754,1.5,1,2
599454.4,0.8112141,48.02487,1.5,1,2
601537.6,1.017443,218.852,1.5,1,2
609451.3,1.121436,211.8374,1.5,1,2
616495.3,0.8657319,37.45619,1.5,1,2
618313.4,1.533594,24.79054,1.5,1,2
627122.4,3.151456,968.1515,1.5,1,2
636496.7,0.8135909,68.34138,1.5,1,2
637059.9,0.6961103,130.6477,1.5,1,2
654981.2,1.582889,341.6977,1.5,1,2
656856.8,1.368667,16.70666,1.5,1,2
664959.5,1.071052,16.66784,1.5,1,2
667855.9,0.6676937,153.3883,1.5,1,2
675009.6,1.056329,238.3255,1.5,1,2
677509.3,1.654676,99.06401,1.5,1,2
678581.8,1.161725,45.03627,1.5,1,2
680650.0,0.7235684,62.61601,1.5,1,2
691271.2,0.9690164,534.3465,1.5,1,2
693088.7,0.5638888,114.5989,1.5,1,2
698019.4,0.6123112,36.96173,1.5,1,2
708449.1,1.093,390.6176,1.5,1,2
710986.0,1.093,203.9235,1.5,1,2
718624.2,1.093,21.76572,1.5,1,2
723086.6,1.093,8.856402,1.5,1,2
728168.3,1.093,23.68096,1.5,1,2
732129.5,1.093,224.7765,1.5,1,2
734206.4,1.093,453.4265,1.5,1,2
737271.2,1.093,84.4189,1.5,1,2
740103.0,1.093,10.59552,1.5,1,2
745212.8,1.093,449.4527,1.5,1,2
746334.9,1.093,275.3044,1.5,1,2
746818.7,1.093,25.55306,1.5,1,2
750406.6,1.093,20.93034,1.5,1,2
751677.5,1.093,121.2796,1.5,1,2
761055.1,1.093,60.23107,1.5,1,2
764098.3,1.093,33.94256,1.5,1,2
776087.2,1.093,466.9678,1.5,1,2
782164.2,1.093,192.8109,1.5,1,2
789224.8,1.093,11.38646,1.5,1,2
792628.6,1.093,266.2521,1.5,1,2
801465.8,1.093,103.333,1.5,1,2
19015.99,0.5,0.02607481,2.5,1,2
32264.68,1.091318,0.1596828,2.5,1,2
44024.46,0.9319212,0.03740032,2.5,1,2
48470.0,0.5,0.008820285,2.5,1,2
51921.68,3.115531,0.2513178,2.5,1,2
95718.37,2.528108,0.4108188,2.5,1,2
97018.71,0.5811826,0.2483041,2.5,1,2
101419.4,0.407011,3.681333,2.5,1,2
111529.1,0.4248255,0.4762796,2.5,1,2
119823.9,1.087461,3.005181,2.5,1,2
125349.3,1.005247,1.767814,2.5,1,2
141370.9,0.3185278,0.04742249,2.5,1,2
142424.7,1.100873,1.1137,2.5,1,2
161296.5,0.8692166,13.0988,2.5,1,2
161549.7,0.4498812,0.1178536,2.5,1,2
172528.0,0.7666806,5.118178,2.5,1,2
185508.4,0.9534613,1.444154,2.5,1,2
198208.4,1.193676,7.555213,2.5,1,2
209860.6,0.4425751,0.4313272,2.5,1,2
216878.9,0.2090627,1.427883,2.5,1,2
220342.5,0.9655566,4.310959,2.5,1,2
229402.6,2.094482,0.9007699,2.5,1,2
236857.5,0.2016319,1.13297,2.5,1,2
243945.1,0.7931049,11.58622,2.5,1,2
259567.5,0.5277455,25.93558,2.5,1,2
260285.0,0.7917427,2.979123,2.5,1,2
286013.1,1.102964,0.5242335,2.5,1,2
289956.0,1.116114,8.025767,2.5,1,2
295390.9,0.3447583,2.139856,2.5,1,2
300212.4,1.079098,18.51614,2.5,1,2
336000.0,1.244867,0.6759046,2.5,1,2
342670.8,1.308277,9.195398,2.5,1,2
344332.3,1.138937,82.11804,2.5,1,2
346464.3,1.70236,3.074208,2.5,1,2
346579.1,0.3505073,3.038933,2.5,1,2
355290.0,1.139282,0.8868557,2.5,1,2
357446.1,0.43076,0.6158115,2.5,1,2
364375.5,0.6702545,8.16277,2.5,1,2
376760.0,1.242332,0.3476801,2.5,1,2
379002.6,1.394167,80.43503,2.5,1,2
384544.0,1.083214,5.674204,2.5,1,2
395330.2,0.4794425,32.49467,2.5,1,2
401110.0,2.107465,0.8685418,2.5,1,2
410021.1,0.731211,23.56234,2.5,1,2
411326.5,0.3749228,0.6972575,2.5,1,2
414751.0,0.6548317,3.36281,2.5,1,2
429861.2,1.326226,52.92547,2.5,1,2
435906.4,1.092188,61.27025,2.5,1,2
439461.4,0.6540166,2.881745,2.5,1,2
443503.2,0.3718712,1.792354,2.5,1,2
444978.2,0.7411144,3.334714,2.5,1,2
446971.6,0.5860046,116.7836,2.5,1,2
457539.8,1.37234,46.13261,2.5,1,2
476075.7,1.740562,53.63229,2.5,1,2
479904.3,0.678089,40.2408,2.5,1,2
493746.0,0.7114995,96.36231,2.5,1,2
496026.0,0.3449242,2.835497,2.5,1,2
503864.6,0.7624014,34.37381,2.5,1,2
513989.9,0.7520579,16.48435,2.5,1,2
514355.9,0.5794283,11.00164,2.5,1,2
518483.3,0.8549412,48.12285,2.5,1,2
523273.3,0.5124448,3.311728,2.5,1,2
524097.5,0.4167263,68.33177,2.5,1,2
527843.6,0.5624352,46.6951,2.5,1,2
530689.2,0.4140475,26.78013,2.5,1,2
534243.8,1.16919,2.366262,2.5,1,2
543745.4,0.6919185,19.71346,2.5,1,2
544831.9,0.8467792,35.75921,2.5,1,2
574208.0,1.189174,38.90322,2.5,1,2
582551.3,0.8965027,33.42765,2.5,1,2
587710.9,0.7480228,97.68151,2.5,1,2
598361.2,0.7725141,2.933072,2.5,1,2
604414.9,0.8367318,312.3938,2.5,1,2
610989.7,1.62753,271.1213,2.5,1,2
612494.4,1.210853,6.466898,2.5,1,2
622172.7,1.676743,54.93766,2.5,1,2
633055.8,0.9304825,301.8273,2.5,1,2
640468.1,1.249226,82.28487,2.5,1,2
644028.4,1.712344,43.19074,2.5,1,2
649768.9,0.4586835,179.2675,2.5,1,2
653400.0,0.9056643,6.004049,2.5,1,2
663000.0,0.8287193,3.460576,2.5,1,2
670672.8,0.6772425,194.8988,2.5,1,2
673607.6,0.5755442,91.94632,2.5,1,2
693596.6,0.5691996,287.1991,2.5,1,2
700697.2,1.093,7.039598,2.5,1,2
714717.2,1.093,105.9518,2.5,1,2
719718.9,1.093,64.44101,2.5,1,2
733938.4,1.093,67.57656,2.5,1,2
746173.9,1.093,27.5002,2.5,1,2
