energy,Cu66 + photon [inclusive] width,n + Cu65 width,J,Pi,L
261590.2,0.395,667.2314,1,-1,0
262091.4,0.395,20.44403,1,-1,0
262740.5,0.395,1.086527,1,-1,0
262740.9,0.395,41.59256,1,-1,0
263128.4,0.395,36.14574,1,-1,0
265830.8,0.395,1063.885,1,-1,0
266985.7,0.395,115.5807,1,-1,0
267945.1,0.395,0.3599816,1,-1,0
271065.9,0.395,809.88,1,-1,0
272038.2,0.395,47.32709,1,-1,0
274362.1,0.395,79.74344,1,-1,0
279736.8,0.395,32.71146,1,-1,0
282225.8,0.395,130.2625,1,-1,0
286701.8,0.395,1.26627,1,-1,0
287535.9,0.395,3.281855,1,-1,0
290910.7,0.395,602.0499,1,-1,0
293544.1,0.395,2726.591,1,-1,0
293850.5,0.395,1.152386,1,-1,0
298777.4,0.395,14739.21,1,-1,0
300800.0,0.395,12.17487,1,-1,0
301888.6,0.395,80.99032,1,-1,0
302122.3,0.395,235.8907,1,-1,0
306480.1,0.395,13280.69,1,-1,0
307119.0,0.395,122.0232,1,-1,0
309107.0,0.395,522.5925,1,-1,0
313654.2,0.395,170.3489,1,-1,0
315387.4,0.395,597.0871,1,-1,0
316147.8,0.395,335.2483,1,-1,0
317023.6,0.395,185.0588,1,-1,0
319904.3,0.395,105.9748,1,-1,0
321535.3,0.395,225.6084,1,-1,0
-32673.31,0.395,4043.631,2,-1,0
2532.922,0.3470239,16.9168,2,-1,0
3134.244,0.3936236,0.007495007,2,-1,0
6439.095,0.394971,0.0006071422,2,-1,0
6442.645,0.3669688,26.70482,2,-1,0
6738.476,0.349022,0.002777986,2,-1,0
7897.54,0.288385,87.60746,2,-1,0
8895.25,0.3712969,0.006481054,2,-1,0
9009.015,0.3534809,0.001595772,2,-1,0
13235.18,0.3991395,89.0521,2,-1,0
14208.78,0.3641682,36.28998,2,-1,0
14375.36,0.3374054,0.01552563,2,-1,0
16117.13,0.3957183,0.0118951,2,-1,0
16132.29,0.399863,0.009021891,2,-1,0
19982.66,0.3386103,156.376,2,-1,0
21619.3,0.3951017,0.014394,2,-1,0
23803.93,0.3089835,41.39584,2,-1,0
25242.43,0.3681139,107.8757,2,-1,0
26700.41,0.395015,0.005271454,2,-1,0
28019.71,0.3961498,0.2061003,2,-1,0
30970.0,0.397155,0.07417758,2,-1,0
34922.4,0.3870277,207.8881,2,-1,0
36239.89,0.4005092,0.0999506,2,-1,0
39324.65,0.3949145,0.04419338,2,-1,0
40115.86,0.3974424,0.1032864,2,-1,0
49997.79,0.4034192,0.2804873,2,-1,0
54384.46,0.3594688,43.82224,2,-1,0
55007.43,0.3970732,0.0940095,2,-1,0
57455.23,0.3950005,0.0062714,2,-1,0
64462.89,0.4000775,63.92265,2,-1,0
67083.63,0.4343076,360.494,2,-1,0
69472.71,0.4174708,141.4751,2,-1,0
69822.27,0.3969509,0.1348119,2,-1,0
72682.47,0.3959243,187.9924,2,-1,0
79697.48,0.3924488,0.2738341,2,-1,0
82253.2,0.3930396,29.66889,2,-1,0
82391.07,0.4137497,230.3614,2,-1,0
86162.69,0.411371,272.1897,2,-1,0
86350.4,0.3952268,1.410486,2,-1,0
93379.58,0.4233293,7.67657,2,-1,0
95155.1,0.3973412,0.2999532,2,-1,0
98211.26,0.3527667,196.2317,2,-1,0
106230.9,0.395,0.3847681,2,-1,0
106397.2,0.395,1.256004,2,-1,0
107562.4,0.395,155.1431,2,-1,0
111221.9,0.395,80.73536,2,-1,0
112176.2,0.395,1.472469,2,-1,0
113935.0,0.395,13.64502,2,-1,0
