energy,Rh104 + photon [inclusive] width,n + Rh103 width,J,Pi,L
7291.644,0.162163,0.04760006,1,-1,0
7446.208,0.1603886,0.06069825,1,-1,0
7500.896,0.1483363,0.004307999,1,-1,0
7508.662,0.2209215,0.06563699,1,-1,0
7534.908,0.1483655,0.3057488,1,-1,0
7557.401,0.1565442,0.03341723,1,-1,0
7575.107,0.1423809,0.3702006,1,-1,0
7651.825,0.2538836,1.02982,1,-1,0
7706.946,0.1608178,0.1542827,1,-1,0
7828.418,0.1448934,0.07146085,1,-1,0
7944.786,0.1473007,0.03246161,1,-1,0
7957.691,0.1589548,0.1099372,1,-1,0
7994.976,0.1684815,0.09980234,1,-1,0
11.86834,0.1552277,1.500058e-06,1,1,1
44.55886,0.162963,2.098631e-06,1,1,1
98.79449,0.1726356,4.703591e-05,1,1,1
114.0606,0.1766874,7.673151e-05,1,1,1
125.8503,0.1578588,0.0001999585,1,1,1
205.1467,0.157111,5.950385e-05,1,1,1
366.4679,0.1893679,0.001302028,1,1,1
388.8571,0.1626336,0.0001736649,1,1,1
447.6557,0.1524312,0.0001250868,1,1,1
450.2676,0.1874118,0.002958207,1,1,1
489.8708,0.1530621,0.0001994645,1,1,1
664.0274,0.1861826,0.00374811,1,1,1
734.5985,0.1584199,8.661972e-05,1,1,1
758.1981,0.150918,0.0004978035,1,1,1
828.6027,0.1505991,0.000101198,1,1,1
831.401,0.1903931,0.00181856,1,1,1
868.5582,0.1490995,0.0003218051,1,1,1
990.6135,0.1519109,0.0003876317,1,1,1
1008.643,0.1498137,5.840679e-05,1,1,1
1025.149,0.1882926,0.001899487,1,1,1
1066.472,0.1493846,0.0001779079,1,1,1
1077.181,0.1662936,0.006036955,1,1,1
1093.318,0.1502671,0.0003803091,1,1,1
1123.135,0.1507121,0.0003165074,1,1,1
1245.81,0.1540093,0.002195547,1,1,1
1262.092,0.1538326,0.0008118717,1,1,1
1276.233,0.1496502,0.001899327,1,1,1
1287.064,0.1506071,0.002437906,1,1,1
1513.378,0.1576084,0.0004387072,1,1,1
1650.87,0.1882942,0.0006286685,1,1,1
1785.074,0.1571125,0.001945177,1,1,1
1807.58,0.1560622,0.0006224449,1,1,1
1838.166,0.1549254,0.003634727,1,1,1
1885.138,0.1565364,0.0008220102,1,1,1
1954.551,0.1480124,0.00308761,1,1,1
1967.453,0.1536138,0.002000423,1,1,1
2022.136,0.1494029,0.00079908,1,1,1
2102.76,0.1563235,0.01456776,1,1,1
2151.958,0.1502846,0.001309637,1,1,1
2162.484,0.1591853,0.009212059,1,1,1
2356.358,0.1512396,0.003601351,1,1,1
2410.195,0.153843,0.01049116,1,1,1
2516.942,0.1509838,0.004921989,1,1,1
2536.588,0.1474722,0.007037326,1,1,1
2625.051,0.1574085,0.00496187,1,1,1
2663.32,0.1497685,0.008921362,1,1,1
2696.131,0.1488076,0.005082244,1,1,1
2816.83,0.1499679,0.0007609742,1,1,1
2843.485,0.1501289,0.004141872,1,1,1
2851.572,0.1535222,0.0113267,1,1,1
2894.346,0.1495212,0.000350444,1,1,1
2916.934,0.1484679,0.005036173,1,1,1
2984.2,0.1444583,0.02759237,1,1,1
3064.368,0.190106,0.02541837,1,1,1
3077.252,0.1507511,0.007370464,1,1,1
3114.78,0.1506565,0.001604676,1,1,1
3168.916,0.07757132,0.02596556,1,1,1
3263.478,0.1490225,0.004576786,1,1,1
3285.804,0.1513382,0.002044375,1,1,1
3323.549,0.1551612,0.03530122,1,1,1
3335.871,0.1504738,0.00117945,1,1,1
3355.08,0.1697035,0.02196862,1,1,1
3664.284,0.1198026,0.008094236,1,1,1
3713.546,0.1445839,0.01436286,1,1,1
3753.084,0.1690312,0.01981925,1,1,1
3774.734,0.1529511,0.01630859,1,1,1
3875.063,0.2351279,0.02944163,1,1,1
3937.998,0.1545042,0.01370892,1,1,1
3966.232,0.147936,0.02596651,1,1,1
3994.942,0.1525729,0.01831208,1,1,1
4015.09,0.1662042,0.02044759,1,1,1
4046.089,0.1574933,0.0124973,1,1,1
4069.555,0.1604637,0.008304733,1,1,1
4105.876,0.1539113,0.01735174,1,1,1
4129.221,0.1766222,0.02074877,1,1,1
4186.491,0.1686316,0.02612259,1,1,1
4270.394,0.1526886,0.003570111,1,1,1
4382.329,0.1632121,0.01111579,1,1,1
4451.273,0.1529864,0.009936,1,1,1
4469.508,0.1637693,0.02596428,1,1,1
4509.131,0.1571771,0.01593355,1,1,1
4543.39,0.1573188,0.005385047,1,1,1
4557.101,0.1553652,0.01619903,1,1,1
4572.027,0.1565913,0.01270129,1,1,1
4636.522,0.1654177,0.01396317,1,1,1
4653.77,0.1624924,0.02216265,1,1,1
4691.425,0.1637835,0.02231218,1,1,1
4717.81,0.1691735,0.0203641,1,1,1
4760.885,0.1679352,0.01565431,1,1,1
4789.618,0.1504552,0.02695336,1,1,1
4806.018,0.1411109,0.002584562,1,1,1
4858.874,0.1569272,0.01143838,1,1,1
4865.075,0.1319859,0.1524858,1,1,1
4872.769,0.142733,0.08501761,1,1,1
4902.696,0.164394,0.02171472,1,1,1
4924.832,0.1618391,0.01430939,1,1,1
5010.193,0.1480767,0.08656383,1,1,1
5036.7,0.1520565,0.06053617,1,1,1
5177.25,0.1576953,0.0266034,1,1,1
5208.919,0.1579938,0.02169227,1,1,1
5221.817,0.1599441,0.02016516,1,1,1
5354.935,0.1748021,0.02300947,1,1,1
5445.84,0.1394589,0.1092024,1,1,1
5498.191,0.1506254,0.002568859,1,1,1
5520.228,0.1920655,0.4841174,1,1,1
5530.548,0.1800412,0.006677517,1,1,1
5576.368,0.1437259,0.04369742,1,1,1
5596.6,0.1599446,0.01576449,1,1,1
5616.051,0.1553756,0.01653065,1,1,1
5655.38,0.1540244,0.09240773,1,1,1
5667.315,0.1552375,0.006611983,1,1,1
5724.761,0.1496666,0.01518249,1,1,1
5736.094,0.1589415,0.03590372,1,1,1
5794.194,0.1978332,0.08018679,1,1,1
5819.819,0.1998153,0.03668541,1,1,1
5834.928,0.1532369,0.01105454,1,1,1
5857.137,0.1531598,0.03177174,1,1,1
5923.381,0.16311,0.1933062,1,1,1
5925.953,0.1521756,0.03312768,1,1,1
5941.302,0.1505194,0.005684727,1,1,1
6033.179,0.1776517,0.3379604,1,1,1
6044.083,0.1602071,0.03322749,1,1,1
6083.758,0.1985585,0.1302352,1,1,1
6112.458,0.1395848,0.1275403,1,1,1
6149.084,0.1377677,0.04324063,1,1,1
6222.803,0.1455766,0.02697439,1,1,1
6270.008,0.1375877,0.1699273,1,1,1
6300.144,0.14902,0.02737957,1,1,1
6351.306,0.150808,0.08231048,1,1,1
6421.46,0.1488049,0.02039568,1,1,1
6438.089,0.1537235,0.02643512,1,1,1
6454.856,0.1564466,0.02906587,1,1,1
6557.787,0.1663084,0.1421764,1,1,1
6602.355,0.150863,0.02998519,1,1,1
6674.806,0.164217,0.07336571,1,1,1
6730.088,0.1765679,0.05143977,1,1,1
6764.422,0.1582611,0.0469368,1,1,1
6808.311,0.2041695,0.1179594,1,1,1
6829.797,0.1493909,0.1170121,1,1,1
6922.743,0.1484027,0.0403828,1,1,1
7075.323,0.1629462,0.2360605,1,1,1
7181.01,0.1652511,0.194354,1,1,1
7325.756,0.2620963,0.04618488,1,1,1
